timestamp;event;payload
140775200;9;0.00
140780961;9;16.18
140786960;9;28.91
140792964;9;54.71
140798969;9;78.05
140804972;9;99.17
140810976;9;118.28
140816981;9;135.58
140822985;9;151.22
140828989;9;165.38
140834993;9;178.19
140840997;9;198.35
140847002;9;221.34
140853010;9;257.38
140859018;9;289.98
140864926;9;318.53
140870934;9;345.32
140876942;9;369.55
140882950;9;391.48
140888958;9;411.33
140894966;9;429.28
140900974;9;454.09
140906948;9;506.99
140912928;9;600.54
140918948;9;686.13
140924928;9;762.63
140930948;9;832.80
140936928;9;895.34
140942948;9;952.88
140948928;9;1004.00
140954948;9;1051.20
140960928;9;1101.52
140966937;9;1204.15
140972937;9;1373.15
140978937;9;1526.06
140984936;9;1664.42
140990936;9;1789.61
140996935;9;1902.89
141002934;9;2005.39
141008931;9;2098.14
141014929;9;2182.06
141020928;9;2266.56
141026931;9;2463.87
141032930;9;2792.77
141038929;9;3090.36
141044928;9;3359.64
141050926;9;3603.29
141056925;9;3823.75
141062934;9;4024.19
141068932;9;4204.60
141074931;9;4367.84
141080929;9;4524.11
141086927;9;4910.08
141092927;9;5555.28
141098927;9;6139.07
141104927;9;6667.31
141110925;9;7145.28
141116927;9;7578.72
141122925;9;7969.96
141128927;9;8323.97
141134925;9;8642.39
141140925;9;8940.97
141146963;9;8689.65
141152974;9;7862.72
141158984;9;7114.48
141164995;9;6437.45
141171006;9;5824.85
141177016;9;5270.54
141182927;9;4768.98
141188938;9;4315.15
141194949;9;3904.51
141201005;9;3540.56
