timestamp;event;payload
140775200;9;0.00
140780962;9;22.84
140786960;9;34.94
140792964;9;60.16
140798968;9;82.99
140804972;9;103.64
140810976;9;122.32
140816981;9;139.23
140822985;9;154.53
140828988;9;168.38
140834993;9;180.90
140840997;9;200.80
140847002;9;223.56
140853010;9;259.39
140859018;9;291.80
140864926;9;320.18
140870934;9;346.81
140876942;9;370.90
140882950;9;392.70
140888958;9;412.43
140894966;9;430.28
140900974;9;454.99
140906948;9;507.81
140912928;9;601.28
140918948;9;686.80
140924928;9;763.24
140930948;9;833.35
140936928;9;895.84
140942948;9;953.33
140948928;9;1004.40
140954948;9;1051.56
140960928;9;1101.85
140966937;9;1204.45
140972937;9;1373.42
140978937;9;1526.30
140984936;9;1664.64
140990936;9;1789.81
140996935;9;1903.08
141002934;9;2005.56
141008931;9;2098.29
141014929;9;2182.19
141020928;9;2266.68
141026931;9;2463.98
141032930;9;2792.87
141038929;9;3090.45
141044928;9;3359.72
141050926;9;3603.36
141056925;9;3823.82
141062934;9;4024.25
141068932;9;4204.65
141074931;9;4367.89
141080929;9;4524.16
141086927;9;4910.12
141092927;9;5555.31
141098927;9;6139.11
141104927;9;6667.34
141110925;9;7145.31
141116927;9;7578.75
141122925;9;7969.99
141128927;9;8323.99
141134925;9;8642.41
141140925;9;8940.99
141146963;9;8689.66
141152974;9;7862.73
141158984;9;7114.50
141164995;9;6437.46
141171006;9;5824.86
141177016;9;5270.55
141182927;9;4768.99
141188938;9;4315.16
141194949;9;3904.52
141201005;9;3540.57
