timestamp;event;payload
140202864;9;0.00
140205942;9;540.52
140212024;9;791.70
140217928;9;4932.06
140223932;9;8830.68
140229936;9;12358.29
140235940;9;15571.14
140241944;9;18485.86
140247948;9;21123.21
140253952;9;23509.58
140259956;9;25668.86
140265960;9;27637.89
140271964;9;29552.76
140277972;9;35533.46
140283980;9;40945.03
140289988;9;45841.62
140295996;9;50272.23
140302004;9;54281.22
140308012;9;57908.70
140314020;9;61190.98
140319928;9;64014.36
140325936;9;66730.84
140331964;9;69468.59
140337944;9;84744.22
140343964;9;98805.04
140349944;9;111380.30
140355964;9;122906.36
140361945;9;133188.07
140367925;9;142491.35
140373945;9;151056.81
140379925;9;158659.65
140385945;9;165701.71
140391925;9;172207.82
140397925;9;199775.67
140403925;9;224720.10
140409944;9;247438.25
140415944;9;267846.99
140421943;9;286313.57
140427943;9;303022.83
140433943;9;318141.99
140439943;9;331822.38
140445943;9;344216.12
140451933;9;356007.14
140457931;9;409449.76
140463930;9;457806.65
140469928;9;501561.77
140475926;9;541153.05
140481924;9;576976.71
140487933;9;609538.80
140493932;9;638854.70
140499930;9;665496.92
140505929;9;690066.29
140511929;9;713768.79
140517926;9;819535.45
140523927;9;915237.09
140529928;9;1001979.96
140535926;9;1080171.25
140541927;9;1150773.20
140547927;9;1214953.40
140553928;9;1272877.59
140559929;9;1325289.56
140565927;9;1373174.46
140572020;9;1412926.30
140577931;9;1278468.59
140583941;9;1156806.22
140589952;9;1046721.55
140595963;9;947112.82
140601973;9;856983.12
140607984;9;775430.40
140613995;9;701638.44
140620005;9;634868.71
140625936;9;574466.29
140631925;9;519802.40
