timestamp;event;payload
140202864;9;0.00
140205942;9;21.89
140212024;9;22.66
140217928;9;48.10
140223932;9;72.07
140229936;9;93.76
140235940;9;113.39
140241944;9;131.15
140247948;9;147.22
140253952;9;161.75
140259956;9;174.91
140265960;9;194.43
140271964;9;206.38
140277972;9;243.84
140283980;9;277.73
140289988;9;308.40
140295996;9;336.15
140302004;9;361.26
140308012;9;383.98
140314020;9;404.53
140319928;9;422.18
140325936;9;446.72
140331964;9;464.16
140337944;9;561.78
140343964;9;651.06
140349944;9;730.90
140355964;9;804.09
140361944;9;869.36
140367925;9;928.42
140373945;9;982.82
140379925;9;1031.08
140385945;9;1083.32
140391925;9;1124.87
140397925;9;1301.41
140403925;9;1461.15
140409944;9;1606.64
140415944;9;1737.33
140421943;9;1855.59
140427943;9;1962.59
140433943;9;2059.41
140439943;9;2147.02
140445942;9;2233.90
140451933;9;2309.66
140457931;9;2653.23
140463930;9;2964.10
140469928;9;3245.39
140475926;9;3499.91
140481924;9;3730.22
140487933;9;3939.55
140493932;9;4128.02
140499930;9;4298.55
140505929;9;4460.46
140511929;9;4609.82
140517926;9;5284.54
140523927;9;5895.05
140529928;9;6448.42
140535926;9;6947.22
140541926;9;7397.61
140547927;9;7807.03
140553927;9;8176.55
140559929;9;8510.89
140565927;9;8823.89
140572020;9;9077.61
140577931;9;8213.76
140583941;9;7432.12
140589952;9;6724.86
140595963;9;6084.90
140601973;9;5505.85
140607984;9;4981.90
140613995;9;4507.81
140620005;9;4078.83
140625936;9;3697.34
140631925;9;3346.44
