timestamp;event;payload
140202868;9;0.00
140212024;9;1.90
140217928;9;29.32
140223932;9;55.08
140229936;9;78.39
140235940;9;99.47
140241944;9;118.56
140247948;9;135.82
140253952;9;151.45
140259956;9;165.58
140265960;9;178.38
140271964;9;190.90
140277972;9;229.83
140283980;9;265.06
140289988;9;296.93
140295996;9;325.77
140302004;9;351.87
140308012;9;375.48
140314020;9;396.85
140319928;9;415.23
140325936;9;432.81
140331965;9;450.63
140337944;9;549.53
140343964;9;639.98
140349944;9;720.87
140355964;9;795.02
140361945;9;861.15
140367925;9;921.00
140373945;9;976.10
140379925;9;1025.00
140385945;9;1070.20
140391925;9;1112.05
140397925;9;1289.81
140403925;9;1450.66
140409944;9;1597.14
140415944;9;1728.74
140421943;9;1847.81
140427943;9;1955.55
140433943;9;2053.04
140439943;9;2141.26
140445943;9;2221.07
140451933;9;2297.10
140457931;9;2641.86
140463930;9;2953.82
140469928;9;3236.09
140475926;9;3491.50
140481924;9;3722.60
140487933;9;3932.66
140493932;9;4121.78
140499930;9;4292.91
140505929;9;4447.74
140511929;9;4597.36
140517926;9;5273.27
140523927;9;5884.85
140529928;9;6439.19
140535926;9;6938.87
140541927;9;7390.05
140547927;9;7800.19
140553928;9;8170.36
140559929;9;8505.30
140565927;9;8811.22
140572020;9;9065.18
140577931;9;8202.52
140583941;9;7421.95
140589952;9;6715.65
140595963;9;6076.57
140601973;9;5498.31
140607984;9;4975.08
140613995;9;4501.64
140620005;9;4073.25
140625936;9;3685.63
140631925;9;3334.89
