timestamp;event;payload
139457936;9;0.00
139457994;9;19.98
139463997;9;20.94
139469996;9;34.17
139476000;9;59.47
139482004;9;82.36
139488008;9;103.07
139494012;9;121.81
139500016;9;138.77
139506020;9;154.11
139512024;9;167.99
139517928;9;186.27
139523932;9;199.94
139529938;9;223.74
139535946;9;259.55
139541954;9;291.94
139547962;9;321.26
139553970;9;347.78
139559978;9;371.79
139565985;9;393.50
139571994;9;413.15
139578000;9;434.74
139584010;9;455.23
139589924;9;510.87
139595944;9;605.00
139601964;9;690.17
139607944;9;766.29
139613924;9;835.16
139619944;9;898.43
139625964;9;955.67
139631943;9;1006.52
139637924;9;1052.53
139643944;9;1103.68
139649952;9;1211.81
139655928;9;1378.17
139661956;9;1532.51
139667940;9;1669.31
139673924;9;1793.08
139679952;9;1906.99
139685932;9;2009.10
139691952;9;2102.44
139697936;9;2185.00
139703940;9;2269.22
139709940;9;2476.75
139715948;9;2805.37
139721964;9;3103.67
139727960;9;3370.73
139733945;9;3612.37
139739928;9;3830.07
139745956;9;4031.80
139751940;9;4209.59
139757924;9;4371.40
139763960;9;4530.19
139769928;9;4935.57
139775964;9;5586.90
139781924;9;6164.83
139787936;9;6697.28
139793940;9;7177.16
139799951;9;7609.47
139805954;9;7997.78
139811957;9;8350.09
139817958;9;8666.98
139823964;9;8967.03
139830010;9;8665.64
139836021;9;7841.00
139841932;9;7094.83
139847943;9;6419.67
139853954;9;5808.76
139859965;9;5255.98
139865976;9;4755.81
139871987;9;4303.23
139877998;9;3893.73
139883952;9;3530.80
