timestamp;event;payload
139457936;9;0.00
139469996;9;15.23
139476000;9;42.33
139482004;9;66.85
139488008;9;89.03
139494012;9;109.11
139500016;9;127.28
139506020;9;143.71
139512024;9;158.59
139517928;9;172.04
139523932;9;184.22
139529938;9;209.51
139535946;9;246.67
139541954;9;280.30
139547962;9;310.72
139553970;9;338.25
139559978;9;363.16
139565986;9;385.70
139571994;9;406.09
139578000;9;423.59
139584010;9;441.33
139589924;9;498.30
139595944;9;593.63
139601964;9;679.88
139607944;9;756.97
139613924;9;826.73
139619944;9;890.80
139625964;9;948.77
139631943;9;1000.28
139637925;9;1046.88
139643944;9;1090.00
139649952;9;1199.44
139655928;9;1366.98
139661956;9;1522.38
139667940;9;1660.14
139673924;9;1784.79
139679952;9;1899.48
139685933;9;2002.30
139691953;9;2096.30
139697936;9;2179.44
139703940;9;2255.62
139709940;9;2464.45
139715948;9;2794.24
139721965;9;3093.60
139727960;9;3361.61
139733945;9;3604.12
139739928;9;3822.60
139745957;9;4025.05
139751941;9;4203.48
139757924;9;4365.88
139763960;9;4516.62
139769928;9;4923.29
139775964;9;5575.79
139781925;9;6154.78
139787936;9;6688.19
139793940;9;7168.93
139799951;9;7602.02
139805954;9;7991.05
139811957;9;8344.00
139817958;9;8661.46
139823964;9;8953.47
139830010;9;8653.38
139836021;9;7829.90
139841932;9;7084.79
139847943;9;6410.58
139853954;9;5800.53
139859965;9;5248.54
139865976;9;4749.08
139871987;9;4297.14
139877998;9;3888.21
139883952;9;3518.20
