timestamp;event;payload
1566589456;9;0.00
1566590817;9;618.56
1566596824;9;609.18
1566602823;9;359714.78
1566608828;9;793968.78
1566614833;9;1186898.05
1566620837;9;1542448.48
1566626842;9;1864179.04
1566632847;9;2155292.89
1566638852;9;2418703.59
1566644856;9;2657047.45
1566650861;9;2872727.03
1566656866;9;3067868.65
1566662873;9;3588013.18
1566668882;9;4183596.46
1566674792;9;4706885.37
1566680801;9;5195993.88
1566686809;9;5638557.57
1566692818;9;6039005.75
1566698828;9;6401346.25
1566704837;9;6729205.49
1566710846;9;7025881.93
1566716855;9;7294312.55
1566722794;9;8536699.79
1566728818;9;10067037.84
1566734801;9;11436126.88
1566740824;9;12690547.96
1566746807;9;13809977.01
1566752790;9;14822878.30
1566758814;9;15755007.37
1566764797;9;16582814.55
1566770821;9;17347480.68
1566776803;9;18008129.71
1566782804;9;20323894.99
1566788789;9;23012773.22
1566794797;9;25492625.11
1566800802;9;27705251.72
1566806789;9;29722937.15
1566812795;9;31532996.34
1566818801;9;33186423.71
1566824788;9;34666888.58
1566830795;9;36022103.81
1566836800;9;37248339.93
1566842797;9;41684532.11
1566848788;9;46932393.35
1566854789;9;51696472.65
1566860788;9;56007189.86
1566866788;9;59907688.09
1566872789;9;63437004.83
1566878790;9;66630462.68
1566884793;9;69520022.84
1566890796;9;72135123.63
1566896789;9;74501412.26
1566902792;9;83218128.50
1566908791;9;93604385.05
1566914790;9;103002258.61
1566920792;9;111396473.02
1566926790;9;119007491.34
1566932789;9;125847368.41
1566938792;9;132067583.18
1566944790;9;137680247.22
1566950789;9;142774431.82
1566956789;9;147352589.27
1566962825;9;138281370.38
1566968835;9;125122158.13
1566974845;9;113215210.51
1566980855;9;102441358.76
1566986866;9;92692774.56
1566992876;9;83871890.80
1566998886;9;75890425.12
1567004796;9;68668496.32
1567010875;9;62133842.04
1567016864;9;56221027.10
