timestamp;event;payload
1566589456;9;0.00
1566590817;9;8.56
1566596824;9;7.75
1566602823;9;28.90
1566608828;9;54.70
1566614833;9;78.04
1566620837;9;99.16
1566626842;9;118.28
1566632847;9;135.57
1566638852;9;151.22
1566644856;9;165.38
1566650861;9;178.19
1566656866;9;189.78
1566662873;9;221.20
1566668882;9;257.25
1566674792;9;288.92
1566680801;9;318.52
1566686809;9;345.31
1566692818;9;369.54
1566698828;9;391.47
1566704837;9;411.32
1566710846;9;429.27
1566716855;9;445.52
1566722794;9;521.13
1566728818;9;614.28
1566734801;9;697.61
1566740824;9;773.97
1566746807;9;842.11
1566752790;9;903.76
1566758814;9;960.50
1566764797;9;1010.89
1566770821;9;1057.44
1566776803;9;1097.65
1566782804;9;1238.71
1566788789;9;1402.52
1566794797;9;1553.58
1566800802;9;1688.37
1566806789;9;1811.29
1566812794;9;1921.55
1566818801;9;2022.28
1566824788;9;2112.47
1566830795;9;2195.02
1566836800;9;2269.72
1566842797;9;2540.01
1566848788;9;2859.76
1566854789;9;3150.03
1566860788;9;3412.67
1566866788;9;3650.32
1566872789;9;3865.36
1566878790;9;4059.93
1566884793;9;4235.99
1566890796;9;4395.29
1566896789;9;4539.44
1566902792;9;5070.50
1566908791;9;5703.28
1566914790;9;6275.85
1566920792;9;6787.27
1566926790;9;7250.97
1566932789;9;7667.69
1566938792;9;8046.66
1566944790;9;8388.61
1566950790;9;8698.97
1566956789;9;8977.89
1566962825;9;8425.20
1566968835;9;7623.44
1566974845;9;6897.97
1566980855;9;6241.54
1566986865;9;5647.58
1566992876;9;5110.14
1566998886;9;4623.85
1567004796;9;4183.83
1567010875;9;3785.69
1567016864;9;3425.43
