timestamp;event;payload
956271532;9;0.00
956284793;9;20.94
956290798;9;47.49
956296802;9;71.52
956302807;9;93.26
956308812;9;112.94
956314817;9;130.74
956320821;9;146.85
956326825;9;161.42
956332831;9;174.61
956338836;9;186.54
956344844;9;218.27
956350853;9;254.60
956356863;9;287.47
956362872;9;317.21
956368882;9;344.12
956374791;9;367.52
956380800;9;389.64
956386809;9;409.66
956392819;9;427.77
956398829;9;444.16
956404828;9;519.90
956410811;9;612.22
956416795;9;695.75
956422818;9;772.28
956428801;9;840.58
956434824;9;903.33
956440808;9;959.16
956446791;9;1009.68
956452815;9;1056.34
956458798;9;1097.61
956464797;9;1235.82
956470803;9;1401.80
956476809;9;1551.99
956482794;9;1686.93
956488799;9;1809.98
956494805;9;1921.32
956500791;9;2021.12
956506795;9;2112.37
956512800;9;2194.93
956518807;9;2269.64
956524793;9;2536.13
956530794;9;2857.20
956536795;9;3147.71
956542793;9;3410.58
956548796;9;3649.38
956554795;9;3864.51
956560797;9;4059.16
956566789;9;4234.34
956572791;9;4393.80
956578792;9;4538.09
956584793;9;5059.76
956590789;9;5685.00
956596792;9;6252.64
956602792;9;6768.17
956608792;9;7239.40
956614789;9;7662.93
956620792;9;8041.40
956626793;9;8383.85
956632793;9;8693.72
956638793;9;8976.00
956644799;9;8434.90
956650815;9;7632.21
956656831;9;6905.91
956662847;9;6248.73
956668863;9;5654.08
956674878;9;5116.03
956680794;9;4629.17
956686810;9;4188.65
956692790;9;3790.05
956698853;9;3429.38
