timestamp;event;payload
955755984;9;0.00
955760845;9;28.55
955766847;9;35.35
955772852;9;60.53
955778856;9;83.32
955784861;9;103.94
955790866;9;122.60
955796871;9;139.48
955802875;9;154.76
955808880;9;168.58
955814885;9;181.08
955820790;9;202.87
955826796;9;220.68
955832805;9;256.77
955838815;9;289.44
955844824;9;318.99
955850834;9;345.73
955856843;9;369.93
955862853;9;391.82
955868862;9;411.63
955874871;9;429.56
955880881;9;456.25
955886794;9;494.67
955892817;9;590.34
955898800;9;675.95
955904824;9;754.37
955910807;9;824.38
955916792;9;887.72
955922815;9;945.98
955928799;9;997.75
955934823;9;1045.55
955940806;9;1098.31
955946796;9;1178.41
955952804;9;1349.85
955958790;9;1503.08
955964799;9;1644.58
955970804;9;1770.71
955976792;9;1885.79
955982799;9;1989.92
955988805;9;2083.18
955994794;9;2168.53
956000801;9;2256.22
956006793;9;2409.79
956012792;9;2743.83
956018797;9;3046.08
956024789;9;3317.67
956030792;9;3564.36
956036795;9;3787.58
956042788;9;3988.60
956048791;9;4170.50
956054793;9;4336.03
956060797;9;4497.23
956066789;9;4797.26
956072788;9;5448.43
956078791;9;6038.59
956084790;9;6571.63
956090792;9;7053.95
956096788;9;7489.42
956102791;9;7885.35
956108791;9;8241.70
956114790;9;8565.09
956120793;9;8868.18
956126849;9;8790.32
956132859;9;7953.81
956138870;9;7196.90
956144881;9;6512.03
956150792;9;5892.33
956156802;9;5331.60
956162813;9;4824.23
956168824;9;4365.14
956174835;9;3949.74
956180887;9;3583.39
956186859;9;3242.39
