timestamp;event;payload
955755984;9;0.00
955766847;9;9.52
955772852;9;37.16
955778856;9;62.17
955784861;9;84.80
955790866;9;105.28
955796871;9;123.81
955802875;9;140.58
955808880;9;155.75
955814885;9;169.48
955820790;9;181.90
955826796;9;201.70
955832805;9;239.60
955838815;9;273.90
955844824;9;304.93
955850834;9;333.01
955856843;9;358.42
955862853;9;381.41
955868862;9;402.21
955874871;9;421.03
955880881;9;438.06
955886794;9;478.22
955892817;9;575.45
955898800;9;662.48
955904824;9;742.18
955910807;9;813.35
955916792;9;877.74
955922815;9;936.96
955928799;9;989.58
955934823;9;1038.16
955940806;9;1081.16
955946796;9;1162.89
955952804;9;1335.81
955958790;9;1490.37
955964799;9;1633.08
955970804;9;1760.30
955976792;9;1876.37
955982799;9;1981.40
955988805;9;2075.47
955994794;9;2161.55
956000801;9;2239.44
956006793;9;2394.61
956012792;9;2730.09
956018797;9;3033.65
956024789;9;3306.42
956030792;9;3554.18
956036795;9;3778.37
956042788;9;3980.27
956048791;9;4162.96
956054793;9;4329.21
956060797;9;4480.59
956066789;9;4782.20
956072788;9;5434.81
956078791;9;6026.26
956084790;9;6560.48
956090792;9;7043.86
956096788;9;7480.29
956102791;9;7877.09
956108791;9;8234.23
956114790;9;8558.33
956120793;9;8851.59
956126849;9;8775.31
956132859;9;7940.23
956138870;9;7184.61
956144881;9;6500.91
956150792;9;5882.26
956156802;9;5322.49
956162813;9;4815.99
956168824;9;4357.69
956174835;9;3943.00
956180887;9;3567.77
956186859;9;3228.25
