timestamp;event;payload
144552480;9;0.00
144554942;9;6.66
144560960;9;6.03
144566961;9;5.45
144572992;9;4.93
144578936;9;134.84
144584956;9;264.75
144590936;9;381.35
144596956;9;487.80
144602936;9;583.17
144608956;9;670.42
144614936;9;748.41
144620956;9;819.94
144626936;9;883.70
144632956;9;942.35
144638935;9;994.47
144644955;9;1042.57
144650934;9;1085.15
144656954;9;1124.63
144662934;9;1159.40
144668955;9;1191.81
144674934;9;1220.19
144680954;9;1246.82
144686934;9;1269.96
144692954;9;1291.85
144698934;9;1310.71
144704954;9;1328.72
144710933;9;1344.07
144716953;9;1358.91
144722933;9;1371.38
144728953;9;1383.62
144734933;9;1393.74
144740953;9;1403.86
144746933;9;1412.05
144752953;9;1420.42
144758933;9;1427.04
144764952;9;1433.99
144770932;9;1439.32
144776952;9;1445.09
144782932;9;1449.37
144788952;9;1454.18
144794931;9;1457.59
144800951;9;1461.63
144806931;9;1464.33
144812951;9;1467.72
144818930;9;1469.84
144824950;9;1472.71
144830930;9;1474.36
144836950;9;1476.80
144842930;9;1478.05
144848949;9;1480.14
144854929;9;1481.08
144860949;9;1482.88
144866929;9;1483.56
144872949;9;1485.12
144878929;9;1485.59
144884949;9;1486.96
144890929;9;1487.25
144896949;9;1488.46
144902929;9;1488.61
144908948;9;1489.69
144914928;9;1489.72
144920948;9;1490.70
144926928;9;1490.63
144932948;9;1491.52
144938927;9;1491.38
144944946;9;1492.20
144950926;9;1491.99
144956946;9;1492.75
144962926;9;1492.49
144968946;9;1493.21
144974925;9;1492.90
144980928;9;1492.62
144986925;9;1493.33
144992945;9;1493.96
144998925;9;1493.58
145004945;9;1494.19
145010964;9;1494.75
145016944;9;1494.30
145022964;9;1494.84
145028944;9;1494.38
145034964;9;1494.91
145040944;9;1494.45
145046932;9;1494.02
145052943;9;1494.59
145058963;9;1495.11
145064943;9;1494.62
145070963;9;1495.13
145076942;9;1494.64
145082962;9;1495.15
145088942;9;1494.66
145094962;9;1495.17
145100942;9;1494.68
145106962;9;1495.19
145112942;9;1494.69
