timestamp;event;payload
145491642;9;0-4490
145491963;9;0-4498
145492284;9;0-4506
145492605;9;0-4514
145492926;9;0-4522
145493247;9;0-4530
145493568;9;0-4538
145493889;9;0-4546
145494210;9;0-4554
145494531;9;0-4562
145494852;9;0-4570
145495173;9;0-4578
145495495;9;0-4586
145495816;9;0-4594
145496137;9;0-4602
145496458;9;0-4610
145496779;9;0-4618
145497100;9;0-4626
145497421;9;0-4634
145497742;9;0-4642
145498063;9;0-4650
145498384;9;0-4658
145498705;9;0-4666
145499026;9;0-4674
145499347;9;0-4682
145499668;9;0-4690
145499989;9;0-4698
145500310;9;0-4706
145500631;9;0-4714
145500952;9;0-4722
145501274;9;0-4730
145501595;9;0-4738
145501916;9;0-4746
145502237;9;0-4754
145502558;9;0-4762
145502879;9;0-4770
145503200;9;0-4778
145503521;9;0-4786
145503842;9;0-4794
145504163;9;0-4802
145504484;9;0-4810
145504805;9;0-4818
145505127;9;0-4826
145505448;9;0-4834
145505769;9;0-4842
145506090;9;0-4850
145506411;9;0-4858
145506732;9;0-4866
145507053;9;0-4874
145507374;9;0-4882
145507695;9;0-4890
145508017;9;0-4898
145508338;9;0-4906
145508659;9;0-4914
145508980;9;0-4922
145509301;9;0-4930
145509622;9;0-4938
145509943;9;0-4946
145510264;9;0-4954
145510585;9;0-4962
145510906;9;0-4970
145511228;9;0-4978
145511549;9;0-4986
145511870;9;0-4994
145512191;9;0-5002
145512512;9;0-5010
145512833;9;0-5018
145513154;9;0-5026
145513475;9;0-5034
145513796;9;0-5042
145514117;9;0-5050
145514438;9;0-5058
145514760;9;0-5066
145515081;9;0-5074
145515402;9;0-5082
145515723;9;0-5090
145516044;9;0-5098
145516365;9;0-5106
145516686;9;0-5114
145517007;9;0-5122
145517328;9;0-5130
145517649;9;0-5138
145517970;9;0-5146
145518291;9;0-5154
145518613;9;0-5162
145518934;9;0-5170
145519255;9;0-5178
145519576;9;0-5186
145519897;9;0-5194
145520218;9;0-5202
145520539;9;0-5210
145520860;9;0-5218
145521181;9;0-5226
145521502;9;0-5234
145521823;9;0-5242
145522144;9;0-5250
145522465;9;0-5258
145522787;9;0-5266
145523108;9;0-5274
145523429;9;0-5282
145523750;9;0-5290
145524071;9;0-5298
145524392;9;0-5306
145524713;9;0-5314
145525034;9;0-5322
145525355;9;0-5330
145525676;9;0-5338
145525997;9;0-5346
145526318;9;0-5354
145526639;9;0-5362
145526961;9;0-5370
145527282;9;0-5378
145527603;9;0-5386
145527924;9;0-5394
145528245;9;0-5402
145528566;9;0-5410
145528887;9;0-5418
145529208;9;0-5426
145529529;9;0-5434
145529850;9;0-5442
145530171;9;0-5450
145530492;9;0-5458
145530813;9;0-5466
145531134;9;0-5474
