timestamp;event;payload
145290480;9;0.00
145291943;9;6.66
145297950;9;6.03
145303967;9;5.45
145309986;9;4.93
145315931;9;111.05
145321951;9;243.22
145327932;9;361.87
145333952;9;470.18
145339933;9;567.23
145345954;9;655.99
145351934;9;735.36
145357954;9;808.12
145363934;9;873.01
145369954;9;932.68
145375934;9;985.71
145381955;9;1034.66
145387934;9;1077.99
145393955;9;1118.15
145399934;9;1153.53
145405955;9;1186.50
145411935;9;1215.39
145417955;9;1242.47
145423935;9;1266.03
145429955;9;1288.29
145435935;9;1307.49
145441956;9;1325.81
145447936;9;1341.43
145453956;9;1356.52
145459936;9;1369.22
145465956;9;1381.67
145471936;9;1391.98
145477956;9;1402.26
145483936;9;1410.61
145489956;9;1419.11
145495936;9;1425.86
145501956;9;1432.92
145507936;9;1438.35
145513957;9;1444.21
145519937;9;1448.57
145525957;9;1453.47
145531937;9;1456.94
145537957;9;1461.04
145543938;9;1463.80
145549958;9;1467.24
145555938;9;1469.41
145561958;9;1472.32
145567938;9;1474.00
145573958;9;1476.47
145579938;9;1477.76
145585958;9;1479.88
145591938;9;1480.84
145597959;9;1482.66
145603939;9;1483.36
145609959;9;1484.95
145615938;9;1485.43
145621958;9;1486.81
145627938;9;1487.12
145633958;9;1488.34
145639938;9;1488.50
145645958;9;1489.59
145651938;9;1489.63
145657959;9;1490.62
145663937;9;1489.61
145669958;9;1491.55
145675938;9;1491.40
145681958;9;1492.22
145687938;9;1492.01
145693958;9;1492.77
145699938;9;1492.51
145705958;9;1493.22
145711938;9;1492.91
145717958;9;1493.59
145723938;9;1493.25
145729959;9;1493.89
145735938;9;1493.52
145741958;9;1494.14
145747938;9;1493.74
145753958;9;1494.34
145759939;9;1493.92
145765959;9;1494.50
145771939;9;1494.07
145777959;9;1494.64
145783925;9;1493.25
145789959;9;1494.84
145795939;9;1494.38
145801959;9;1494.91
145807939;9;1494.45
145813959;9;1494.97
145819939;9;1494.50
145825959;9;1495.02
145831939;9;1494.55
145837959;9;1495.07
145843939;9;1494.58
145849959;9;1495.10
