timestamp;event;payload
147604972;9;0.00
147609931;9;743.22
147616032;9;1129.27
147622035;9;1478.59
147628040;9;1794.66
147634043;9;2090.18
147640047;9;2370.89
147646051;9;2624.89
147652055;9;2854.72
147658058;9;3062.67
147664062;9;3250.84
147670067;9;3462.97
147675942;9;3284.74
147681953;9;21233.85
147687936;9;41094.87
147693957;9;59212.41
147699934;9;75457.38
147705954;9;90304.90
147711937;9;103592.94
147717957;9;115784.89
147723927;9;126789.97
147729954;9;136935.26
147735936;9;145935.24
147741956;9;154246.24
147747933;9;161591.24
147753953;9;168384.78
147759937;9;174382.42
147765957;9;179958.72
147771933;9;184856.86
147777953;9;189436.38
147783937;9;193432.60
147789956;9;197234.10
147795933;9;200495.88
147801954;9;203644.25
147807937;9;206288.42
147813956;9;208828.46
147819934;9;210977.38
147825954;9;213071.20
147831937;9;214818.27
147837957;9;216546.59
147843934;9;217962.93
147849954;9;219426.25
147855937;9;220576.17
147861957;9;221872.65
147867933;9;222782.16
147873954;9;223752.61
147879937;9;224481.31
147885957;9;225290.06
147891934;9;225874.36
147897954;9;226550.55
147903937;9;227014.89
147909957;9;227609.19
147915933;9;227980.40
147921955;9;228690.28
147927937;9;228950.99
147933957;9;229334.41
147939934;9;229531.92
147945955;9;229860.05
147951938;9;230009.45
147957957;9;230292.14
147963935;9;230400.42
147969955;9;230661.12
147975937;9;230738.10
147981957;9;231421.55
147987935;9;231422.35
147993955;9;231570.58
147999937;9;231555.30
148005956;9;231690.88
148011936;9;231666.05
148017955;9;231791.09
148023937;9;231756.73
148029957;9;231886.46
148035936;9;231818.28
148041957;9;232829.07
148047944;9;232694.03
148053961;9;232721.24
148059937;9;232596.46
148065957;9;232632.96
148071941;9;232518.48
148077961;9;232562.40
148083938;9;232589.77
148089958;9;232782.97
148095941;9;232757.95
148101961;9;234762.27
148107938;9;234541.27
148113959;9;234489.76
148119941;9;234306.12
148125961;9;234322.67
148131939;9;234189.19
148137960;9;234216.86
148143941;9;234093.45
148149960;9;234143.56
148155940;9;233989.06
148161956;9;237764.25
148167941;9;237257.58
148173961;9;236947.58
148179941;9;236518.62
148185961;9;236278.95
148191945;9;235913.62
148197965;9;235731.52
148203942;9;235418.29
148209961;9;235296.64
148215945;9;235028.60
