timestamp;event;payload
147604972;9;0.00
147609931;9;25.69
147616032;9;46.09
147622035;9;64.54
147628040;9;81.24
147634043;9;96.35
147640047;9;110.02
147646051;9;122.39
147652055;9;133.58
147658058;9;143.71
147664062;9;152.87
147670067;9;182.10
147675942;9;192.37
147681953;9;315.85
147687936;9;450.43
147693956;9;573.14
147699934;9;682.28
147705954;9;782.94
147711937;9;873.06
147717957;9;955.56
147723927;9;1029.26
147729954;9;1116.88
147735936;9;1179.03
147741956;9;1233.37
147747933;9;1280.63
147753953;9;1324.34
147759937;9;1361.99
147765957;9;1397.97
147771933;9;1429.56
147777952;9;1459.11
147783936;9;1484.88
147789956;9;1528.19
147795933;9;1551.21
147801953;9;1572.03
147807937;9;1587.06
147813956;9;1601.61
147819933;9;1612.88
147825953;9;1624.98
147831936;9;1634.97
147837956;9;1644.97
147843933;9;1653.06
147849953;9;1678.46
147855937;9;1687.17
147861957;9;1698.86
147867932;9;1701.82
147873953;9;1705.46
147879937;9;1706.84
147885957;9;1710.00
147891934;9;1711.90
147897953;9;1714.57
147903937;9;1716.04
147909957;9;1731.64
147915933;9;1735.29
147921954;9;1750.02
147927936;9;1748.11
147933957;9;1747.34
147939933;9;1744.74
147945954;9;1744.29
147951937;9;1742.93
147957956;9;1742.65
147963935;9;1741.45
147969955;9;1748.92
147975936;9;1749.02
147981957;9;1777.67
147987934;9;1773.13
147993955;9;1769.98
147999937;9;1765.22
148005956;9;1762.82
148011935;9;1759.70
148017955;9;1757.82
148023937;9;1755.18
148029957;9;1760.39
148035936;9;1745.13
148041956;9;1783.66
148047944;9;1777.60
148053960;9;1774.02
148059937;9;1768.88
148065957;9;1766.13
148071940;9;1762.69
148077961;9;1760.53
148083938;9;1757.63
148089958;9;1762.61
148095941;9;1740.48
148101960;9;1838.45
148107938;9;1805.29
148113958;9;1776.24
148119941;9;1754.71
148125960;9;1753.31
148131939;9;1751.09
148137959;9;1750.03
148143940;9;1748.13
148149960;9;1754.02
148155939;9;1732.70
148161956;9;1953.22
148167941;9;1909.14
148173961;9;1870.20
148179940;9;1834.02
148185961;9;1802.24
148191945;9;1772.52
148197965;9;1746.59
148203941;9;1722.17
148209960;9;1707.69
148215945;9;1688.88
