timestamp;event;payload
146028308;9;0.00
146029973;9;445.36
146035953;9;1669.59
146041975;9;2766.86
146048023;9;2676.75
146053929;9;19319.09
146059949;9;39463.19
146065927;9;57543.78
146071947;9;74050.32
146077929;9;88839.51
146083949;9;102367.87
146089928;9;114488.93
146095948;9;125947.56
146101929;9;136168.25
146107949;9;145367.78
146113928;9;153517.72
146119949;9;161033.88
146125929;9;167687.28
146131949;9;173855.02
146137929;9;179288.33
146143949;9;184352.09
146149933;9;188799.79
146155953;9;193184.90
146161930;9;197007.11
146167950;9;200417.06
146173933;9;203335.98
146179953;9;206111.30
146185930;9;208475.02
146191951;9;210761.30
146197933;9;212682.51
146203953;9;214568.39
146209931;9;216140.63
146215951;9;217920.11
146221933;9;219388.46
146227953;9;220668.54
146233931;9;221675.50
146239951;9;222705.59
146245933;9;223490.15
146251953;9;224347.55
146257931;9;224975.85
146263952;9;225691.87
146269933;9;226205.57
146275953;9;227019.63
146281932;9;227622.05
146287952;9;228118.60
146293933;9;228447.04
146299953;9;228832.73
146305933;9;229034.22
146311953;9;229364.03
146317933;9;229514.96
146323957;9;229799.02
146329933;9;229921.87
146335953;9;230367.06
146341937;9;230650.92
146347957;9;230859.24
146353934;9;230987.78
146359954;9;231131.69
146365937;9;231114.40
146371957;9;231246.26
146377934;9;231218.06
146383955;9;231340.06
146389937;9;231316.26
146395944;9;231450.79
146401935;9;231777.13
146407955;9;231880.18
146413937;9;232033.37
146419957;9;232077.78
146425935;9;231970.45
146431956;9;232020.85
146437937;9;231918.94
146443957;9;231974.24
146449936;9;231890.09
146455956;9;232182.23
146461928;9;232279.09
146467957;9;232633.18
146473936;9;233100.12
146479956;9;233185.76
146485937;9;233114.79
146491961;9;233199.03
146497937;9;233126.80
146503957;9;233209.89
146509941;9;233149.95
146515961;9;233230.84
146521937;9;233347.81
146527958;9;233465.07
146533941;9;234340.08
146539961;9;234307.72
146545938;9;234129.98
146551958;9;234117.61
146557941;9;233957.97
146563961;9;233961.97
146569938;9;233830.46
146575958;9;233846.59
146581941;9;233712.74
146587961;9;233743.88
