timestamp;event;payload
146028312;9;0.00
146029973;9;13.32
146035953;9;127.20
146041975;9;229.29
146048023;9;223.65
146053929;9;312.76
146059949;9;425.74
146065927;9;527.01
146071947;9;619.61
146077929;9;702.44
146083949;9;778.33
146089928;9;852.72
146095948;9;1028.51
146101929;9;1186.62
146107949;9;1232.62
146113928;9;1258.07
146119948;9;1281.09
146125929;9;1300.97
146131949;9;1319.91
146137929;9;1336.10
146143949;9;1351.69
146149933;9;1371.52
146155953;9;1496.99
146161930;9;1610.52
146167950;9;1616.18
146173933;9;1607.03
146179953;9;1596.84
146185930;9;1586.67
146191951;9;1578.43
146197933;9;1570.01
146203953;9;1563.35
146209931;9;1563.03
146215951;9;1668.37
146221933;9;1765.59
146227953;9;1756.50
146233931;9;1737.80
146239951;9;1715.17
146245933;9;1693.74
146251953;9;1675.30
146257931;9;1657.67
146263952;9;1642.66
146269933;9;1634.80
146275953;9;1729.50
146281932;9;1820.91
146287952;9;1806.55
146293933;9;1790.70
146299953;9;1763.03
146305933;9;1737.05
146311953;9;1714.49
146317933;9;1693.13
146323957;9;1674.75
146329933;9;1663.83
146335953;9;1748.16
146341937;9;1837.79
146347957;9;1821.82
146353933;9;1819.75
146359954;9;1789.32
146365937;9;1760.83
146371957;9;1736.01
146377934;9;1712.60
146383954;9;1692.37
146389937;9;1679.77
146395944;9;1746.41
146401935;9;1836.20
146407955;9;1821.34
146413937;9;1849.76
146419957;9;1816.48
146425935;9;1785.41
146431955;9;1758.25
146437937;9;1732.72
146443957;9;1710.57
146449936;9;1696.24
146455956;9;1730.86
146461928;9;1817.38
146467957;9;1809.06
146473936;9;1899.56
146479956;9;1861.53
146485937;9;1826.18
146491961;9;1795.14
146497937;9;1766.10
146503957;9;1740.78
146509940;9;1723.57
146515961;9;1702.30
146521937;9;1778.21
146527958;9;1779.33
146533941;9;1994.46
146539961;9;1947.41
146545938;9;1903.88
146551958;9;1865.45
146557941;9;1829.72
146563961;9;1798.34
146569938;9;1775.66
146575958;9;1749.43
146581941;9;1724.74
146587961;9;1705.26
