timestamp;event;payload
156684236;9;0.00
156685997;9;445.36
156691961;9;1093.86
156698014;9;1373.27
156704011;9;55628.00
156710016;9;159533.36
156716019;9;253550.82
156722023;9;338764.07
156727928;9;412775.43
156733932;9;483407.44
156739936;9;547317.92
156745940;9;605159.84
156751944;9;657562.08
156757948;9;704990.91
156763952;9;798560.39
156769956;9;941679.16
156775960;9;1071178.39
156781964;9;1188473.09
156787968;9;1295200.48
156793972;9;1391771.42
156799976;9;1479152.43
156805980;9;1558231.35
156811984;9;1629849.63
156817988;9;1694665.85
156823992;9;1854713.53
156829995;9;2116437.89
156835998;9;2353255.89
156842001;9;2567775.58
156848004;9;2763070.55
156854007;9;2939780.75
156860010;9;3099674.76
156866013;9;3244366.15
156872017;9;3375353.06
156878020;9;3493888.23
156884012;9;3807673.69
156889926;9;4318133.04
156895929;9;4783655.73
156901932;9;5205472.85
156907935;9;5590122.59
156913938;9;5938168.06
156919941;9;6253092.64
156925944;9;6538061.49
156931947;9;6795976.69
156937950;9;7029361.34
156943952;9;7650405.54
156949955;9;8684546.31
156955958;9;9620275.57
156961961;9;10468029.00
156967925;9;11236773.37
156973927;9;11936049.59
156979931;9;12568780.87
156985934;9;13141313.14
156991937;9;13659426.47
156997940;9;14128248.12
157003943;9;15374949.50
157009946;9;17450450.22
157015949;9;19328440.93
157021952;9;21029858.35
157027955;9;22580070.29
157033958;9;23982760.06
157039961;9;25251966.25
157045926;9;26393029.72
157051929;9;27432946.46
157057932;9;28373915.36
157063934;9;30870418.59
157069937;9;35024225.46
157075940;9;38782745.34
157081942;9;42187877.08
157087945;9;45290379.28
157093948;9;48097639.35
157099925;9;50623003.11
157105927;9;52922810.25
157111930;9;55003826.52
157117933;9;56886821.24
