timestamp;event;payload
156684236;9;0.00
156704011;9;14.27
156710015;9;41.46
156716019;9;66.07
156722023;9;88.33
156727928;9;107.52
156733932;9;125.84
156739936;9;142.41
156745940;9;157.41
156751944;9;170.98
156757948;9;183.26
156763952;9;207.69
156769956;9;245.02
156775960;9;278.80
156781964;9;309.37
156787968;9;337.03
156793972;9;362.05
156799976;9;384.69
156805980;9;405.18
156811984;9;423.72
156817988;9;440.50
156823992;9;482.32
156829995;9;550.62
156835998;9;612.41
156842001;9;668.33
156848004;9;718.93
156854007;9;764.71
156860010;9;806.13
156866013;9;843.61
156872017;9;877.53
156878020;9;908.21
156884012;9;990.22
156889926;9;1123.43
156895929;9;1244.91
156901932;9;1354.83
156907935;9;1454.29
156913938;9;1544.29
156919941;9;1625.72
156925944;9;1699.40
156931947;9;1766.07
156937950;9;1826.40
156943952;9;1987.57
156949955;9;2255.21
156955958;9;2497.37
156961961;9;2716.50
156967925;9;2913.82
156973927;9;3093.31
156979931;9;3255.73
156985934;9;3402.68
156991937;9;3535.65
156997940;9;3655.97
157003943;9;3978.01
157009946;9;4513.01
157015949;9;4997.10
157021952;9;5435.12
157027955;9;5831.46
157033958;9;6190.09
157039961;9;6514.58
157045926;9;6806.30
157051929;9;7072.15
157057932;9;7312.71
157063934;9;7956.70
157069937;9;9026.64
157075940;9;9994.77
157081942;9;10870.76
157087945;9;11663.39
157093948;9;12380.60
157099925;9;13025.74
157105927;9;13613.30
157111930;9;14144.94
157117933;9;14626.00
