timestamp;event;payload
156175348;9;0.00
156180969;9;926.88
156186946;9;1288.80
156193024;9;15773.61
156198928;9;123352.66
156204932;9;220813.17
156210936;9;308999.08
156216940;9;389387.76
156222944;9;462245.39
156228948;9;528169.71
156234952;9;587820.50
156240957;9;641848.06
156246961;9;690762.76
156252965;9;749453.07
156258928;9;893462.31
156264932;9;1027549.98
156270935;9;1148877.51
156276940;9;1259253.97
156282944;9;1359245.68
156288948;9;1449721.91
156294953;9;1531588.20
156300957;9;1605717.17
156306961;9;1672820.38
156312965;9;1762433.04
156318928;9;2025397.42
156324931;9;2270879.06
156330936;9;2496640.01
156336939;9;2698466.52
156342943;9;2881324.61
156348925;9;3039453.93
156354928;9;3189862.77
156360932;9;3326011.61
156366935;9;3449232.73
156372963;9;3622216.16
156378929;9;4149824.52
156384931;9;4620443.98
156390935;9;5057197.98
156396939;9;5458931.77
156402942;9;5815797.95
156408945;9;6142367.57
156414949;9;6437859.99
156420952;9;6705285.88
156426956;9;6947291.38
156432927;9;7279428.64
156438928;9;8333265.87
156444933;9;9306063.85
156450936;9;10189975.42
156456937;9;10965529.01
156462942;9;11701799.15
156468947;9;12371572.51
156474950;9;12955483.21
156480954;9;13491255.86
156486955;9;13957514.84
156492929;9;14628742.70
156498928;9;16729100.53
156504931;9;18675736.74
156510934;9;20426063.37
156516936;9;22034899.74
156522941;9;23504314.71
156528945;9;24822762.34
156534925;9;25986052.35
156540929;9;27064673.37
156546932;9;28040678.57
156552938;9;29389043.99
156558928;9;33565701.74
156564932;9;37470393.60
156570937;9;41007192.46
156576940;9;44209632.93
156582942;9;47108605.60
156588946;9;49742838.56
156594949;9;52126391.11
156600953;9;54283171.94
156606927;9;56231025.15
156612975;9;57281784.19
