timestamp;event;payload
156175348;9;0.00
156180969;9;57.10
156186946;9;92.58
156193024;9;111.37
156198928;9;129.32
156204932;9;145.56
156210936;9;160.26
156216940;9;173.56
156222944;9;185.59
156228948;9;196.48
156234952;9;206.33
156240957;9;241.89
156246960;9;288.34
156252965;9;317.05
156258928;9;343.02
156264932;9;367.48
156270935;9;389.60
156276940;9;409.63
156282944;9;427.74
156288948;9;444.13
156294952;9;458.97
156300957;9;499.03
156306961;9;549.56
156312965;9;585.77
156318928;9;642.31
156324931;9;695.38
156330936;9;744.36
156336939;9;787.72
156342943;9;826.95
156348925;9;860.55
156354928;9;892.85
156360932;9;948.73
156366935;9;1013.56
156372963;9;1071.27
156378929;9;1196.76
156384931;9;1308.41
156390935;9;1412.29
156396939;9;1507.23
156402942;9;1591.24
156408945;9;1668.20
156414949;9;1737.84
156420952;9;1827.50
156426956;9;1922.90
156432927;9;2021.59
156438928;9;2282.19
156444932;9;2522.74
156450936;9;2741.35
156456937;9;2931.55
156462942;9;3112.21
156468947;9;3276.63
156474950;9;3419.70
156480954;9;3577.70
156486955;9;3730.18
156492929;9;3915.73
156498928;9;4445.24
156504931;9;4935.78
156510933;9;5376.78
156516936;9;5779.63
156522941;9;6146.99
156528945;9;6476.54
156534925;9;6767.11
156540929;9;7063.34
156546932;9;7345.66
156552938;9;7704.83
156558928;9;8769.24
156564932;9;9763.76
156570937;9;10664.60
156576940;9;11474.94
156582942;9;12207.23
156588946;9;12872.68
156594949;9;13474.80
156600953;9;14046.27
156606926;9;14576.68
156612975;9;14941.47
