timestamp;event;payload
155220160;9;0.00
155223958;9;665.19
155229969;9;1282.30
155235950;9;1334.42
155241939;9;91992.54
155247944;9;192437.35
155253947;9;283323.58
155259951;9;365941.49
155265955;9;441030.33
155271959;9;508973.53
155277963;9;570451.08
155283967;9;626091.58
155289968;9;676539.97
155295971;9;722124.76
155301940;9;850439.63
155307944;9;988621.44
155313948;9;1113653.52
155319952;9;1227167.87
155325956;9;1330212.97
155331960;9;1423452.03
155337965;9;1507818.23
155343968;9;1584169.24
155349972;9;1653357.27
155355977;9;1715898.37
155361945;9;1950341.07
155367944;9;2199325.30
155373928;9;2424615.54
155379933;9;2632820.28
155385936;9;2821925.43
155391940;9;2993034.85
155397944;9;3147861.05
155403949;9;3287966.92
155409953;9;3414842.73
155415957;9;3529581.89
155421945;9;3992849.34
155427946;9;4485686.90
155433949;9;4931624.76
155439954;9;5344237.85
155445957;9;5712018.59
155451960;9;6048464.13
155457965;9;6352892.64
155463968;9;6628364.28
155469974;9;6885051.61
155475977;9;7109921.59
155481945;9;8017375.64
155487945;9;9009267.07
155493966;9;9936125.20
155499959;9;10741283.89
155505955;9;11484048.41
155511957;9;12156081.96
155517966;9;12767921.98
155523995;9;13347387.69
155529933;9;13816332.93
155535937;9;14270184.90
155541946;9;16100762.31
155547961;9;18125630.56
155553966;9;19939369.36
155559968;9;21579699.22
155565981;9;23088720.91
155571982;9;24439294.83
155577984;9;25657633.31
155583928;9;26745199.51
155589932;9;27751640.93
155595935;9;28662243.98
155601947;9;32318700.23
155607961;9;36345747.52
155613961;9;39974820.40
155619971;9;43282617.47
155625964;9;46266095.98
155631984;9;48999061.04
155637967;9;51427414.00
155643986;9;53669228.03
155649983;9;55668117.30
155655933;9;57476724.30
