timestamp;event;payload
155220160;9;0.00
155223957;9;39.97
155229969;9;98.02
155235949;9;115.34
155241939;9;699.13
155247943;9;1346.32
155253947;9;1931.92
155259951;9;2461.79
155265955;9;2941.24
155271959;9;3375.06
155277963;9;3767.60
155283967;9;4129.45
155289968;9;4508.25
155295971;9;4819.60
155301940;9;5645.65
155307944;9;6535.83
155313948;9;7341.30
155319951;9;8070.12
155325956;9;8729.59
155331960;9;9326.30
155337964;9;9866.22
155343968;9;10361.43
155349972;9;10860.89
155355977;9;11281.43
155361944;9;12801.04
155367944;9;14413.95
155373928;9;15873.36
155379932;9;17217.69
155385936;9;18434.09
155391940;9;19534.73
155397944;9;20530.63
155403948;9;21438.42
155409953;9;22311.21
155415956;9;23069.54
155421945;9;26084.34
155427946;9;29288.05
155433948;9;32186.89
155439954;9;34857.45
155445956;9;37226.29
155451960;9;39393.49
155457965;9;41354.46
155463968;9;43135.48
155469974;9;44845.98
155475977;9;46314.72
155481945;9;52184.85
155487945;9;58590.74
155493966;9;64577.34
155499958;9;69756.34
155505955;9;74513.87
155511957;9;78818.66
155517965;9;82737.58
155523994;9;86456.76
155529932;9;89516.55
155535937;9;92444.08
155541946;9;104249.56
155547961;9;117286.88
155553966;9;128964.57
155559968;9;139483.41
155565981;9;149120.20
155571981;9;157744.77
155577983;9;165524.80
155583928;9;172475.97
155589932;9;178959.78
155595935;9;184795.17
155601946;9;208367.40
155607960;9;234288.04
155613961;9;257646.83
155619971;9;278854.11
155625964;9;297900.51
155631983;9;315348.52
155637967;9;330850.65
155643985;9;345169.70
155649982;9;357987.18
155655932;9;369553.51
