timestamp;event;payload
155220160;9;0.00
155241939;9;23.79
155247943;9;50.08
155253947;9;73.86
155259951;9;95.38
155265955;9;114.85
155271959;9;132.47
155277963;9;148.41
155283967;9;162.84
155289968;9;175.89
155295971;9;187.70
155301940;9;221.23
155307944;9;257.27
155313948;9;289.89
155319951;9;319.40
155325956;9;346.10
155331960;9;370.26
155337964;9;392.13
155343968;9;411.91
155349972;9;429.81
155355977;9;446.00
155361945;9;507.29
155367944;9;572.26
155373928;9;631.04
155379932;9;685.19
155385936;9;734.18
155391940;9;778.51
155397944;9;818.62
155403948;9;854.91
155409953;9;887.75
155415956;9;917.46
155421945;9;1038.56
155427946;9;1167.17
155433948;9;1283.54
155439954;9;1390.73
155445956;9;1485.83
155451960;9;1572.82
155457965;9;1651.54
155463968;9;1722.76
155469974;9;1789.11
155475977;9;1847.25
155481945;9;2082.56
155487945;9;2339.26
155493966;9;2579.14
155499958;9;2786.67
155505955;9;2977.32
155511957;9;3149.81
155517965;9;3306.85
155523994;9;3455.60
155529932;9;3575.93
155535937;9;3692.41
155541946;9;4165.14
155547961;9;4687.09
155553966;9;5154.62
155559968;9;5575.75
155565981;9;5961.56
155571981;9;6306.85
155577983;9;6618.34
155583928;9;6896.37
155589932;9;7153.65
155595935;9;7386.45
155601946;9;8329.85
155607961;9;9367.14
155613961;9;10301.91
155619971;9;11150.58
155625964;9;11912.77
155631983;9;12611.00
155637967;9;13231.37
155643985;9;13804.12
155649982;9;14314.75
155655932;9;14776.79
