timestamp;event;payload
1569108878;3;58-1
1569108878;4;58-1
1569109078;3;58-2
1569109078;4;58-2
1569109278;3;58-3
1569109278;4;58-3
1569109478;3;58-4
1569109479;4;58-4
1569109678;3;58-5
1569109679;4;58-5
1569109878;3;58-6
1569109879;4;58-6
1569110078;3;58-7
1569110079;4;58-7
1569110278;3;58-8
1569110279;4;58-8
1569110478;3;58-9
1569110479;4;58-9
1569110679;3;58-10
1569110679;4;58-10
1569110879;3;58-11
1569110879;4;58-11
1569111079;3;58-12
1569111079;4;58-12
1569111279;3;58-13
1569111279;4;58-13
1569111479;3;58-14
1569111479;4;58-14
1569111679;3;58-15
1569111680;4;58-15
1569111879;3;58-16
1569111880;4;58-16
1569112079;3;58-17
1569112080;4;58-17
1569112279;3;58-18
1569112280;4;58-18
1569112479;3;58-19
1569112480;4;58-19
1569112680;3;58-20
1569112680;4;58-20
1569112880;3;58-21
1569112880;4;58-21
1569113080;3;58-22
1569113081;4;58-22
1569113280;3;58-23
1569113280;4;58-23
1569113480;3;58-24
1569113481;4;58-24
1569113680;3;58-25
1569113681;4;58-25
1569113880;3;58-26
1569113881;4;58-26
1569114081;3;58-27
1569114081;4;58-27
1569114281;3;58-28
1569114281;4;58-28
1569114481;3;58-29
1569114481;4;58-29
1569114681;3;58-30
1569114681;4;58-30
1569114881;3;58-31
1569114881;4;58-31
1569115081;3;58-32
1569115082;4;58-32
1569115281;3;58-33
1569115282;4;58-33
1569115481;3;58-34
1569115482;4;58-34
1569115681;3;58-35
1569115682;4;58-35
1569115881;3;58-36
1569115882;4;58-36
1569116082;3;58-37
1569116082;4;58-37
1569116282;3;58-38
1569116282;4;58-38
1569116482;3;58-39
1569116482;4;58-39
1569116682;3;58-40
1569116682;4;58-40
1569116882;3;58-41
1569116882;4;58-41
1569117082;3;58-42
1569117082;4;58-42
1569117282;3;58-43
1569117283;4;58-43
1569117482;3;58-44
1569117483;4;58-44
1569117682;3;58-45
1569117683;4;58-45
1569117882;3;58-46
1569117883;4;58-46
1569118083;3;58-47
1569118083;4;58-47
1569118283;3;58-48
1569118283;4;58-48
1569118483;3;58-49
1569118483;4;58-49
1569118683;3;58-50
1569118683;4;58-50
1569118883;3;58-51
1569118883;4;58-51
1569119083;3;58-52
1569119083;4;58-52
1569119283;3;58-53
1569119283;4;58-53
1569119483;3;58-54
1569119484;4;58-54
1569119683;3;58-55
1569119684;4;58-55
1569119883;3;58-56
1569119884;4;58-56
1569120083;3;58-57
1569120084;4;58-57
1569120284;3;58-58
1569120284;4;58-58
1569120484;3;58-59
1569120484;4;58-59
1569120684;3;58-60
1569120684;4;58-60
1569120884;3;58-61
1569120884;4;58-61
1569121084;3;58-62
1569121084;4;58-62
1569121284;3;58-63
1569121284;4;58-63
1569121484;3;58-64
1569121484;4;58-64
1569121684;3;58-65
1569121685;4;58-65
1569121884;3;58-66
1569121885;4;58-66
1569122084;3;58-67
1569122085;4;58-67
1569122284;3;58-68
1569122285;4;58-68
1569122485;3;58-69
1569122485;4;58-69
1569122685;3;58-70
1569122685;4;58-70
1569122885;3;58-71
1569122885;4;58-71
1569123085;3;58-72
1569123085;4;58-72
1569123285;3;58-73
1569123285;4;58-73
1569123485;3;58-74
1569123485;4;58-74
1569123685;3;58-75
1569123686;4;58-75
1569123885;3;58-76
1569123886;4;58-76
1569124085;3;58-77
1569124086;4;58-77
1569124285;3;58-78
1569124286;4;58-78
1569124485;3;58-79
1569124486;4;58-79
1569124686;3;58-80
1569124686;4;58-80
1569124886;3;58-81
1569124886;4;58-81
1569125086;3;58-82
1569125086;4;58-82
1569125286;3;58-83
1569125286;4;58-83
1569125486;3;58-84
1569125486;4;58-84
1569125686;3;58-85
1569125686;4;58-85
1569125886;3;58-86
1569125886;4;58-86
1569126086;3;58-87
1569126087;4;58-87
1569126286;3;58-88
1569126287;4;58-88
1569126486;3;58-89
1569126487;4;58-89
1569126686;3;58-90
1569126687;4;58-90
1569126887;3;58-91
1569126887;4;58-91
1569127087;3;58-92
1569127087;4;58-92
1569127287;3;58-93
1569127287;4;58-93
1569127487;3;58-94
1569127487;4;58-94
1569127687;3;58-95
1569127687;4;58-95
1569127887;3;58-96
1569127887;4;58-96
1569128087;3;58-97
1569128087;4;58-97
1569128287;3;58-98
1569128287;4;58-98
1569128487;3;58-99
1569128488;4;58-99
1569128687;3;58-100
1569128688;4;58-100
1569128888;3;58-101
1569128888;4;58-101
1569129088;3;58-102
1569129088;4;58-102
1569129288;3;58-103
1569129288;4;58-103
1569129488;3;58-104
1569129488;4;58-104
1569129688;3;58-105
1569129688;4;58-105
1569129888;3;58-106
1569129889;4;58-106
1569130088;3;58-107
1569130089;4;58-107
1569130288;3;58-108
1569130289;4;58-108
1569130488;3;58-109
1569130489;4;58-109
1569130688;3;58-110
1569130689;4;58-110
1569130889;3;58-111
1569130889;4;58-111
1569131089;3;58-112
1569131089;4;58-112
1569131289;3;58-113
1569131289;4;58-113
1569131489;3;58-114
1569131489;4;58-114
1569131689;3;58-115
1569131689;4;58-115
1569131889;3;58-116
1569131889;4;58-116
1569132089;3;58-117
1569132089;4;58-117
1569132289;3;58-118
1569132290;4;58-118
1569132489;3;58-119
1569132490;4;58-119
1569132689;3;58-120
1569132690;4;58-120
1569132889;3;58-121
1569132890;4;58-121
1569133089;3;58-122
1569133090;4;58-122
1569133290;3;58-123
1569133290;4;58-123
1569133490;3;58-124
1569133490;4;58-124
1569133690;3;58-125
1569133690;4;58-125
1569133890;3;58-126
1569133890;4;58-126
1569134090;3;58-127
1569134090;4;58-127
1569134290;3;58-128
1569134290;4;58-128
1569134490;3;58-129
1569134491;4;58-129
1569134690;3;58-130
1569134691;4;58-130
1569134890;3;58-131
1569134891;4;58-131
1569135090;3;58-132
1569135091;4;58-132
1569135290;3;58-133
1569135291;4;58-133
1569135491;3;58-134
1569135491;4;58-134
1569135691;3;58-135
1569135691;4;58-135
1569135891;3;58-136
1569135891;4;58-136
1569136091;3;58-137
1569136091;4;58-137
1569136291;3;58-138
1569136291;4;58-138
1569136491;3;58-139
1569136491;4;58-139
1569136691;3;58-140
1569136692;4;58-140
1569136891;3;58-141
1569136892;4;58-141
1569137091;3;58-142
1569137092;4;58-142
1569137291;3;58-143
1569137292;4;58-143
1569137492;3;58-144
1569137492;4;58-144
1569137692;3;58-145
1569137692;4;58-145
1569137892;3;58-146
1569137892;4;58-146
1569138092;3;58-147
1569138092;4;58-147
1569138292;3;58-148
1569138292;4;58-148
1569138492;3;58-149
1569138492;4;58-149
1569138692;3;58-150
1569138693;4;58-150
1569138892;3;58-151
1569138893;4;58-151
1569139092;3;58-152
1569139093;4;58-152
1569139292;3;58-153
1569139293;4;58-153
1569139492;3;58-154
1569139493;4;58-154
1569139693;3;58-155
1569139693;4;58-155
1569139893;3;58-156
1569139893;4;58-156
1569140093;3;58-157
1569140093;4;58-157
1569140293;3;58-158
1569140293;4;58-158
1569140493;3;58-159
1569140493;4;58-159
1569140693;3;58-160
1569140693;4;58-160
1569140893;3;58-161
1569140893;4;58-161
1569141093;3;58-162
1569141094;4;58-162
1569141293;3;58-163
1569141294;4;58-163
1569141493;3;58-164
1569141494;4;58-164
1569141693;3;58-165
1569141694;4;58-165
1569141894;3;58-166
1569141894;4;58-166
1569142094;3;58-167
1569142094;4;58-167
1569142294;3;58-168
1569142294;4;58-168
1569142494;3;58-169
1569142494;4;58-169
1569142694;3;58-170
1569142694;4;58-170
1569142894;3;58-171
1569142894;4;58-171
1569143094;3;58-172
1569143095;4;58-172
1569143294;3;58-173
1569143295;4;58-173
1569143494;3;58-174
1569143495;4;58-174
1569143694;3;58-175
1569143695;4;58-175
1569143895;3;58-176
1569143895;4;58-176
1569144095;3;58-177
1569144095;4;58-177
1569144295;3;58-178
1569144295;4;58-178
1569144495;3;58-179
1569144495;4;58-179
1569144695;3;58-180
1569144695;4;58-180
1569144895;3;58-181
1569144895;4;58-181
1569145095;3;58-182
1569145095;4;58-182
1569145295;3;58-183
1569145295;4;58-183
1569145495;3;58-184
1569145496;4;58-184
1569145695;3;58-185
1569145696;4;58-185
1569145895;3;58-186
1569145896;4;58-186
1569146095;3;58-187
1569146096;4;58-187
1569146296;3;58-188
1569146296;4;58-188
1569146496;3;58-189
1569146496;4;58-189
1569146696;3;58-190
1569146696;4;58-190
1569146896;3;58-191
1569146896;4;58-191
1569147096;3;58-192
1569147096;4;58-192
1569147296;3;58-193
1569147296;4;58-193
1569147496;3;58-194
1569147497;4;58-194
1569147696;3;58-195
1569147697;4;58-195
1569147896;3;58-196
1569147897;4;58-196
1569148096;3;58-197
1569148097;4;58-197
1569148296;3;58-198
1569148297;4;58-198
1569148497;3;58-199
1569148497;4;58-199
1569148697;3;58-200
1569148697;4;58-200
1569148897;3;58-201
1569148897;4;58-201
1569149097;3;58-202
1569149097;4;58-202
1569149297;3;58-203
1569149297;4;58-203
1569149497;3;58-204
1569149497;4;58-204
1569149697;3;58-205
1569149698;4;58-205
1569149897;3;58-206
1569149898;4;58-206
1569150097;3;58-207
1569150098;4;58-207
1569150297;3;58-208
1569150298;4;58-208
1569150497;3;58-209
1569150498;4;58-209
1569150698;3;58-210
1569150698;4;58-210
1569150898;3;58-211
1569150898;4;58-211
1569151098;3;58-212
1569151098;4;58-212
1569151298;3;58-213
1569151298;4;58-213
1569151498;3;58-214
1569151498;4;58-214
1569151698;3;58-215
1569151698;4;58-215
1569151898;3;58-216
1569151899;4;58-216
1569152098;3;58-217
1569152099;4;58-217
1569152298;3;58-218
1569152299;4;58-218
1569152498;3;58-219
1569152499;4;58-219
1569152699;3;58-220
1569152699;4;58-220
1569152899;3;58-221
1569152899;4;58-221
1569153099;3;58-222
1569153099;4;58-222
1569153299;3;58-223
1569153299;4;58-223
1569153499;3;58-224
1569153499;4;58-224
1569153699;3;58-225
1569153699;4;58-225
1569153899;3;58-226
1569153900;4;58-226
1569154099;3;58-227
1569154100;4;58-227
1569154299;3;58-228
1569154300;4;58-228
1569154499;3;58-229
1569154500;4;58-229
1569154699;3;58-230
1569154700;4;58-230
1569154900;3;58-231
1569154900;4;58-231
1569155100;3;58-232
1569155100;4;58-232
1569155300;3;58-233
1569155300;4;58-233
1569155500;3;58-234
1569155500;4;58-234
1569155700;3;58-235
1569155700;4;58-235
1569155900;3;58-236
1569155900;4;58-236
1569156100;3;58-237
1569156100;4;58-237
1569156300;3;58-238
1569156301;4;58-238
1569156500;3;58-239
1569156501;4;58-239
1569156700;3;58-240
1569156701;4;58-240
1569156900;3;58-241
1569156901;4;58-241
1569157101;3;58-242
1569157101;4;58-242
1569157301;3;58-243
1569157301;4;58-243
1569157501;3;58-244
1569157501;4;58-244
1569157701;3;58-245
1569157701;4;58-245
1569157901;3;58-246
1569157901;4;58-246
1569158101;3;58-247
1569158101;4;58-247
1569158301;3;58-248
1569158301;4;58-248
1569158501;3;58-249
1569158502;4;58-249
1569158701;3;58-250
1569158702;4;58-250
1569158901;3;58-251
1569158902;4;58-251
1569159102;3;58-252
1569159102;4;58-252
1569159302;3;58-253
1569159302;4;58-253
1569159502;3;58-254
1569159502;4;58-254
1569159702;3;58-255
1569159702;4;58-255
1569159902;3;58-256
1569159902;4;58-256
1569160102;3;58-257
1569160103;4;58-257
1569160302;3;58-258
1569160303;4;58-258
1569160502;3;58-259
1569160503;4;58-259
1569160702;3;58-260
1569160703;4;58-260
1569160903;3;58-261
1569160903;4;58-261
1569161103;3;58-262
1569161103;4;58-262
1569161303;3;58-263
1569161303;4;58-263
1569161503;3;58-264
1569161503;4;58-264
1569161703;3;58-265
1569161703;4;58-265
1569161903;3;58-266
1569161903;4;58-266
1569162103;3;58-267
1569162104;4;58-267
1569162303;3;58-268
1569162304;4;58-268
1569162503;3;58-269
1569162504;4;58-269
1569162703;3;58-270
1569162704;4;58-270
1569162904;3;58-271
1569162904;4;58-271
1569163104;3;58-272
1569163104;4;58-272
1569163304;3;58-273
1569163304;4;58-273
1569163504;3;58-274
1569163504;4;58-274
1569163704;3;58-275
1569163704;4;58-275
1569163904;3;58-276
1569163904;4;58-276
1569164104;3;58-277
1569164105;4;58-277
1569164304;3;58-278
1569164305;4;58-278
1569164504;3;58-279
1569164505;4;58-279
1569164704;3;58-280
1569164705;4;58-280
1569164904;3;58-281
1569164905;4;58-281
1569165105;3;58-282
1569165105;4;58-282
1569165305;3;58-283
1569165305;4;58-283
1569165505;3;58-284
1569165505;4;58-284
1569165705;3;58-285
1569165705;4;58-285
1569165905;3;58-286
1569165905;4;58-286
1569166105;3;58-287
1569166105;4;58-287
1569166305;3;58-288
1569166306;4;58-288
1569166505;3;58-289
1569166506;4;58-289
1569166705;3;58-290
1569166706;4;58-290
1569166905;3;58-291
1569166906;4;58-291
1569167105;3;58-292
1569167106;4;58-292
1569167306;3;58-293
1569167306;4;58-293
1569167506;3;58-294
1569167506;4;58-294
1569167706;3;58-295
1569167706;4;58-295
1569167906;3;58-296
1569167906;4;58-296
1569168106;3;58-297
1569168106;4;58-297
1569168306;3;58-298
1569168306;4;58-298
1569168506;3;58-299
1569168507;4;58-299
1569168706;3;58-300
1569168707;4;58-300
1569168906;3;58-301
1569168907;4;58-301
1569169106;3;58-302
1569169107;4;58-302
1569169306;3;58-303
1569169307;4;58-303
1569169507;3;58-304
1569169507;4;58-304
1569169707;3;58-305
1569169707;4;58-305
1569169907;3;58-306
1569169907;4;58-306
1569170107;3;58-307
1569170107;4;58-307
1569170307;3;58-308
1569170307;4;58-308
1569170507;3;58-309
1569170507;4;58-309
1569170707;3;58-310
1569170708;4;58-310
1569170907;3;58-311
1569170908;4;58-311
1569171107;3;58-312
1569171108;4;58-312
1569171307;3;58-313
1569171308;4;58-313
1569171508;3;58-314
1569171508;4;58-314
1569171708;3;58-315
1569171708;4;58-315
1569171908;3;58-316
1569171908;4;58-316
1569172108;3;58-317
1569172108;4;58-317
1569172308;3;58-318
1569172308;4;58-318
1569172508;3;58-319
1569172508;4;58-319
1569172708;3;58-320
1569172709;4;58-320
1569172908;3;58-321
1569172909;4;58-321
1569173108;3;58-322
1569173109;4;58-322
1569173308;3;58-323
1569173309;4;58-323
1569173508;3;58-324
1569173509;4;58-324
1569173709;3;58-325
1569173709;4;58-325
1569173909;3;58-326
1569173909;4;58-326
1569174109;3;58-327
1569174109;4;58-327
1569174309;3;58-328
1569174309;4;58-328
1569174509;3;58-329
1569174509;4;58-329
1569174709;3;58-330
1569174709;4;58-330
1569174909;3;58-331
1569174910;4;58-331
1569175109;3;58-332
1569175109;4;58-332
1569175309;3;58-333
1569175310;4;58-333
1569175509;3;58-334
1569175510;4;58-334
1569175709;3;58-335
1569175710;4;58-335
1569175910;3;58-336
1569175910;4;58-336
1569176110;3;58-337
1569176110;4;58-337
1569176310;3;58-338
1569176310;4;58-338
1569176510;3;58-339
1569176510;4;58-339
1569176710;3;58-340
1569176710;4;58-340
1569176910;3;58-341
1569176910;4;58-341
1569177110;3;58-342
1569177110;4;58-342
1569177310;3;58-343
1569177310;4;58-343
1569177510;3;58-344
1569177511;4;58-344
1569177710;3;58-345
1569177711;4;58-345
1569177910;3;58-346
1569177911;4;58-346
1569178110;3;58-347
1569178111;4;58-347
1569178311;3;58-348
1569178311;4;58-348
1569178511;3;58-349
1569178511;4;58-349
1569178711;3;58-350
1569178711;4;58-350
1569178911;3;58-351
1569178911;4;58-351
1569179111;3;58-352
1569179111;4;58-352
1569179311;3;58-353
1569179311;4;58-353
1569179511;3;58-354
1569179512;4;58-354
1569179711;3;58-355
1569179712;4;58-355
1569179911;3;58-356
1569179912;4;58-356
1569180111;3;58-357
1569180112;4;58-357
1569180312;3;58-358
1569180312;4;58-358
1569180512;3;58-359
1569180512;4;58-359
1569180712;3;58-360
1569180712;4;58-360
1569180912;3;58-361
1569180912;4;58-361
1569181112;3;58-362
1569181112;4;58-362
1569181312;3;58-363
1569181312;4;58-363
1569181512;3;58-364
1569181512;4;58-364
1569181712;3;58-365
1569181713;4;58-365
1569181912;3;58-366
1569181913;4;58-366
1569182112;3;58-367
1569182113;4;58-367
1569182312;3;58-368
1569182313;4;58-368
1569182513;3;58-369
1569182513;4;58-369
1569182713;3;58-370
1569182713;4;58-370
1569182913;3;58-371
1569182913;4;58-371
1569183113;3;58-372
1569183113;4;58-372
1569183313;3;58-373
1569183313;4;58-373
1569183513;3;58-374
1569183513;4;58-374
1569183713;3;58-375
1569183713;4;58-375
1569183913;3;58-376
