timestamp;event;payload
751404554;3;22-1
751404555;4;22-1
751404754;3;22-2
751404755;4;22-2
751404954;3;22-3
751404955;4;22-3
751405154;3;22-4
751405155;4;22-4
751405354;3;22-5
751405355;4;22-5
751405554;3;22-6
751405555;4;22-6
751405755;3;22-7
751405755;4;22-7
751405955;3;22-8
751405955;4;22-8
751406155;3;22-9
751406155;4;22-9
751406355;3;22-10
751406356;4;22-10
751406555;3;22-11
751406555;4;22-11
751406755;3;22-12
751406756;4;22-12
751406955;3;22-13
751406956;4;22-13
751407155;3;22-14
751407156;4;22-14
751407355;3;22-15
751407356;4;22-15
751407556;3;22-16
751407556;4;22-16
751407756;3;22-17
751407756;4;22-17
751407956;3;22-18
751407956;4;22-18
751408156;3;22-19
751408156;4;22-19
751408356;3;22-20
751408357;4;22-20
751408556;3;22-21
751408557;4;22-21
751408756;3;22-22
751408757;4;22-22
751408956;3;22-23
751408957;4;22-23
751409156;3;22-24
751409157;4;22-24
751409357;3;22-25
751409357;4;22-25
751409557;3;22-26
751409558;4;22-26
751409757;3;22-27
751409757;4;22-27
751409957;3;22-28
751409958;4;22-28
751410158;3;22-29
751410158;4;22-29
751410358;3;22-30
751410359;4;22-30
751410558;3;22-31
751410559;4;22-31
751410758;3;22-32
751410759;4;22-32
751410958;3;22-33
751410959;4;22-33
751411159;3;22-34
751411159;4;22-34
751411359;3;22-35
751411360;4;22-35
751411559;3;22-36
751411559;4;22-36
751411759;3;22-37
751411760;4;22-37
751411959;3;22-38
751411959;4;22-38
751412159;3;22-39
751412159;4;22-39
751412359;3;22-40
751412360;4;22-40
751412559;3;22-41
751412560;4;22-41
751412759;3;22-42
751412760;4;22-42
751412960;3;22-43
751412960;4;22-43
751413160;3;22-44
751413160;4;22-44
751413360;3;22-45
751413360;4;22-45
751413560;3;22-46
751413560;4;22-46
751413760;3;22-47
751413760;4;22-47
751413960;3;22-48
751413960;4;22-48
751414160;3;22-49
751414160;4;22-49
751414360;3;22-50
751414360;4;22-50
751414560;3;22-51
751414561;4;22-51
751414760;3;22-52
751414761;4;22-52
751414960;3;22-53
751414961;4;22-53
751415161;3;22-54
751415161;4;22-54
751415361;3;22-55
751415361;4;22-55
751415561;3;22-56
751415561;4;22-56
751415761;3;22-57
751415761;4;22-57
751415961;3;22-58
751415961;4;22-58
751416161;3;22-59
751416162;4;22-59
751416361;3;22-60
751416362;4;22-60
751416561;3;22-61
751416562;4;22-61
751416761;3;22-62
751416762;4;22-62
751416961;3;22-63
751416962;4;22-63
751417161;3;22-64
751417162;4;22-64
751417362;3;22-65
751417362;4;22-65
751417562;3;22-66
751417562;4;22-66
751417762;3;22-67
751417763;4;22-67
751417962;3;22-68
751417963;4;22-68
751418162;3;22-69
751418163;4;22-69
751418362;3;22-70
751418363;4;22-70
751418562;3;22-71
751418563;4;22-71
751418762;3;22-72
751418763;4;22-72
751418963;3;22-73
751418963;4;22-73
751419163;3;22-74
751419163;4;22-74
751419363;3;22-75
751419363;4;22-75
751419563;3;22-76
751419563;4;22-76
751419763;3;22-77
751419763;4;22-77
751419963;3;22-78
751419963;4;22-78
751420163;3;22-79
751420164;4;22-79
751420363;3;22-80
751420364;4;22-80
751420563;3;22-81
751420564;4;22-81
751420763;3;22-82
751420764;4;22-82
751420964;3;22-83
751420964;4;22-83
751421164;3;22-84
751421164;4;22-84
751421364;3;22-85
751421364;4;22-85
751421564;3;22-86
751421564;4;22-86
751421764;3;22-87
751421764;4;22-87
751421964;3;22-88
751421965;4;22-88
751422165;3;22-89
751422165;4;22-89
751422365;3;22-90
751422365;4;22-90
751422565;3;22-91
751422565;4;22-91
751422765;3;22-92
751422766;4;22-92
751422965;3;22-93
751422966;4;22-93
751423165;3;22-94
751423166;4;22-94
751423365;3;22-95
751423366;4;22-95
751423566;3;22-96
751423566;4;22-96
751423766;3;22-97
751423766;4;22-97
751423966;3;22-98
751423966;4;22-98
751424166;3;22-99
751424166;4;22-99
751424366;3;22-100
751424366;4;22-100
751424566;3;22-101
751424566;4;22-101
751424766;3;22-102
751424767;4;22-102
751424966;3;22-103
751424967;4;22-103
751425166;3;22-104
751425167;4;22-104
751425366;3;22-105
751425367;4;22-105
751425567;3;22-106
751425567;4;22-106
751425767;3;22-107
751425767;4;22-107
751425967;3;22-108
751425967;4;22-108
751426167;3;22-109
751426167;4;22-109
751426367;3;22-110
751426367;4;22-110
751426567;3;22-111
751426568;4;22-111
751426767;3;22-112
751426768;4;22-112
751426967;3;22-113
751426968;4;22-113
751427167;3;22-114
751427168;4;22-114
751427367;3;22-115
751427368;4;22-115
751427568;3;22-116
751427568;4;22-116
751427768;3;22-117
751427768;4;22-117
751427968;3;22-118
751427968;4;22-118
751428168;3;22-119
751428168;4;22-119
751428368;3;22-120
751428368;4;22-120
751428568;3;22-121
751428568;4;22-121
751428768;3;22-122
751428768;4;22-122
751428968;3;22-123
751428968;4;22-123
751429168;3;22-124
751429169;4;22-124
751429368;3;22-125
751429369;4;22-125
751429568;3;22-126
751429569;4;22-126
751429768;3;22-127
751429769;4;22-127
751429968;3;22-128
751429969;4;22-128
751430169;3;22-129
751430169;4;22-129
751430369;3;22-130
751430369;4;22-130
751430569;3;22-131
751430569;4;22-131
751430769;3;22-132
751430769;4;22-132
751430969;3;22-133
751430969;4;22-133
751431169;3;22-134
751431169;4;22-134
751431369;3;22-135
751431369;4;22-135
751431569;3;22-136
751431570;4;22-136
751431769;3;22-137
751431770;4;22-137
751431969;3;22-138
751431970;4;22-138
751432170;3;22-139
751432170;4;22-139
751432370;3;22-140
751432370;4;22-140
751432570;3;22-141
751432570;4;22-141
751432770;3;22-142
751432770;4;22-142
751432970;3;22-143
751432971;4;22-143
751433170;3;22-144
751433171;4;22-144
751433370;3;22-145
751433371;4;22-145
751433570;3;22-146
751433571;4;22-146
751433770;3;22-147
751433771;4;22-147
751433971;3;22-148
751433971;4;22-148
751434171;3;22-149
751434171;4;22-149
751434371;3;22-150
751434371;4;22-150
751434571;3;22-151
751434572;4;22-151
751434771;3;22-152
751434772;4;22-152
751434971;3;22-153
751434972;4;22-153
751435171;3;22-154
751435172;4;22-154
751435372;3;22-155
751435372;4;22-155
751435572;3;22-156
751435572;4;22-156
751435772;3;22-157
751435773;4;22-157
751435972;3;22-158
751435973;4;22-158
751436172;3;22-159
751436173;4;22-159
751436372;3;22-160
751436373;4;22-160
751436572;3;22-161
751436573;4;22-161
751436773;3;22-162
751436773;4;22-162
751436973;3;22-163
751436974;4;22-163
751437173;3;22-164
751437174;4;22-164
751437373;3;22-165
751437374;4;22-165
751437573;3;22-166
751437574;4;22-166
751437773;3;22-167
751437774;4;22-167
751437973;3;22-168
751437974;4;22-168
751438173;3;22-169
751438174;4;22-169
751438374;3;22-170
751438374;4;22-170
751438574;3;22-171
751438574;4;22-171
751438774;3;22-172
751438775;4;22-172
751438974;3;22-173
751438974;4;22-173
751439174;3;22-174
751439175;4;22-174
751439374;3;22-175
751439375;4;22-175
751439574;3;22-176
751439575;4;22-176
751439774;3;22-177
751439775;4;22-177
751439974;3;22-178
751439975;4;22-178
751440175;3;22-179
751440175;4;22-179
751440375;3;22-180
751440376;4;22-180
751440575;3;22-181
751440576;4;22-181
751440775;3;22-182
751440776;4;22-182
751440975;3;22-183
751440976;4;22-183
751441175;3;22-184
751441175;4;22-184
751441375;3;22-185
751441375;4;22-185
751441575;3;22-186
751441576;4;22-186
751441775;3;22-187
751441776;4;22-187
751441975;3;22-188
751441976;4;22-188
751442175;3;22-189
751442176;4;22-189
751442376;3;22-190
751442376;4;22-190
751442576;3;22-191
751442576;4;22-191
751442776;3;22-192
751442776;4;22-192
751442976;3;22-193
751442977;4;22-193
751443176;3;22-194
751443177;4;22-194
751443376;3;22-195
751443377;4;22-195
751443576;3;22-196
751443577;4;22-196
751443776;3;22-197
751443777;4;22-197
751443976;3;22-198
751443977;4;22-198
751444177;3;22-199
751444177;4;22-199
751444377;3;22-200
751444377;4;22-200
751444577;3;22-201
751444577;4;22-201
751444777;3;22-202
751444777;4;22-202
751444977;3;22-203
751444978;4;22-203
751445177;3;22-204
751445178;4;22-204
751445377;3;22-205
751445378;4;22-205
751445577;3;22-206
751445578;4;22-206
751445778;3;22-207
751445778;4;22-207
751445978;3;22-208
751445978;4;22-208
751446178;3;22-209
751446179;4;22-209
751446378;3;22-210
751446379;4;22-210
751446578;3;22-211
751446579;4;22-211
751446779;3;22-212
751446780;4;22-212
751446979;3;22-213
751446980;4;22-213
751447179;3;22-214
751447180;4;22-214
751447379;3;22-215
751447380;4;22-215
751447580;3;22-216
751447580;4;22-216
751447780;3;22-217
751447780;4;22-217
751447980;3;22-218
751447980;4;22-218
751448180;3;22-219
751448180;4;22-219
751448380;3;22-220
751448380;4;22-220
751448580;3;22-221
751448580;4;22-221
751448780;3;22-222
751448781;4;22-222
751448980;3;22-223
751448981;4;22-223
751449180;3;22-224
751449181;4;22-224
751449381;3;22-225
751449381;4;22-225
751449581;3;22-226
751449581;4;22-226
751449781;3;22-227
751449781;4;22-227
751449981;3;22-228
751449981;4;22-228
751450181;3;22-229
751450181;4;22-229
751450381;3;22-230
