timestamp;event;payload
751147580;9;0.00
751152797;9;1037.27
751158843;9;1388.68
751164904;9;3905206.29
751170909;9;62093417.98
751176915;9;114745121.88
751182917;9;162386353.69
751188822;9;205496658.80
751194826;9;244505308.64
751200832;9;279801794.63
751206804;9;310177662.76
751212811;9;339224636.04
751218815;9;365507487.16
751224812;9;393192948.02
751230814;9;472899775.56
751236820;9;545022328.25
751242825;9;610281512.62
751248821;9;668942772.14
751254827;9;722412935.70
751260830;9;770794740.44
751266804;9;813010694.59
751272810;9;852771020.74
751278814;9;888747714.40
751284815;9;925205002.54
751290818;9;1012855569.00
751296822;9;1092165913.91
751302827;9;1163928881.63
751308832;9;1228865435.97
751314819;9;1287232864.52
751320824;9;1340436326.16
751326797;9;1387014905.56
751332802;9;1430722896.21
751338807;9;1470271569.21
751344814;9;1509960925.52
751350818;9;1600535988.19
751356824;9;1682492526.71
751362829;9;1756649869.42
751368835;9;1823755560.81
751374849;9;1884867561.51
751380825;9;1938992558.85
751386826;9;1988747833.41
751392833;9;2033768320.88
751398797;9;2072942671.41
751404846;9;2115417141.28
751410804;9;2205388472.00
751416807;9;2288360634.72
751422811;9;2363436952.20
751428858;9;2432936069.82
751434816;9;2492699449.34
751440819;9;2548337494.82
751446823;9;2598680880.24
751452815;9;2643843036.54
751458819;9;2685097953.66
751464852;9;2726331191.12
751470857;9;2818303215.22
751477137;9;2889809857.63
751483093;9;2977939581.48
751488863;9;3045974087.08
751494869;9;3107536037.76
751500870;9;3163239594.26
751506873;9;3213642256.50
751512876;9;3259248524.56
751518847;9;3298562435.43
751524935;9;3341944136.44
751531146;9;3406574956.74
751537133;9;3451389756.63
751543123;9;3491939864.45
751549115;9;3528633855.23
751555106;9;3561839638.66
751561095;9;3591885474.00
751567082;9;3619072070.08
751573068;9;3643671536.61
751579141;9;3671396794.52
751585089;9;3689454582.99
751591167;9;3713209701.15
751597244;9;3734705053.60
751603070;9;3738535937.19
751609152;9;3757621179.63
751615231;9;3774892838.10
751621064;9;3774903987.53
751627146;9;3790534062.15
751633228;9;3804676755.65
751639058;9;3801854468.93
751645195;9;3818824196.57
751651147;9;3822461515.38
751657130;9;3827705900.02
751663203;9;3837917817.62
751669163;9;3840129444.79
751675147;9;3843693574.22
751681129;9;3846919959.34
751687111;9;3849839313.32
751693093;9;3852480871.16
751699079;9;3854871064.86
751705399;9;3878512257.06
751711415;9;3880376515.16
751717108;9;3862540286.14
751723411;9;3883496853.27
751729107;9;3865363684.82
751735146;9;3868480027.68
751741164;9;3871301714.55
751747182;9;3873855239.28
751753201;9;3876165781.13
751759218;9;3878256455.37
751765258;9;3882100109.61
751771173;9;3877765562.52
751777444;9;3895320626.30
751783361;9;3889728813.38
751789068;9;3871394449.34
751794988;9;3865734404.56
751800952;9;3864908450.01
751806914;9;3864161095.43
751812938;9;3867389636.82
751818998;9;3872263334.51
751824954;9;3870815647.61
751830951;9;3871458647.13
751837036;9;3877899141.51
751843026;9;3877869484.90
751848984;9;3875893016.61
751854947;9;3874105942.63
751861006;9;3878349866.17
751866941;9;3874382669.82
751873001;9;3878602774.44
751878870;9;3870706669.25
751884950;9;3876447550.01
751890915;9;3874607505.36
751896826;9;3847560633.71
751902828;9;3821135113.93
751908832;9;3797229130.06
751914836;9;3775599719.11
751920839;9;3756028609.23
751926810;9;3736367557.38
751932816;9;3720529898.44
751938819;9;3706199411.05
751944831;9;3680346600.87
