timestamp;event;payload
751147580;9;0.00
751152797;9;69.47
751158842;9;103.78
751164904;9;355.60
751170908;9;3890.36
751176915;9;7088.74
751182917;9;9982.75
751188822;9;12601.36
751194826;9;14970.78
751200832;9;17114.72
751206804;9;18959.47
751212811;9;20742.87
751218815;9;22387.96
751224812;9;24087.76
751230814;9;28932.70
751236820;9;33316.58
751242825;9;37283.28
751248821;9;40848.71
751254827;9;44098.64
751260829;9;47039.29
751266804;9;49604.94
751272810;9;52040.63
751278814;9;54275.94
751284815;9;56509.79
751290818;9;61837.97
751296822;9;66659.10
751302827;9;71021.43
751308832;9;74968.64
751314819;9;78516.43
751320824;9;81750.40
751326797;9;84581.45
751332802;9;87261.09
751338807;9;89709.52
751344814;9;92140.01
751350818;9;97646.12
751356824;9;102628.25
751362829;9;107136.27
751368835;9;111215.29
751374849;9;114929.94
751380825;9;118219.71
751386826;9;121244.01
751392833;9;124007.15
751398797;9;126428.35
751404846;9;129028.35
751410804;9;134497.50
751416807;9;139541.36
751422811;9;144105.23
751428858;9;148329.95
751434815;9;151962.31
751440819;9;155344.17
751446823;9;158404.20
751452815;9;161175.88
751458819;9;163723.78
751464852;9;166248.08
751470857;9;171839.07
751477137;9;176184.28
751483093;9;181543.43
751488863;9;185678.87
751494869;9;189420.77
751500870;9;192806.58
751506873;9;195870.19
751512876;9;198668.90
751518847;9;201098.51
751524935;9;203753.69
751531146;9;207678.79
751537133;9;210397.70
751543123;9;212857.87
751549115;9;215083.93
751555106;9;217098.15
751561095;9;218920.69
751567082;9;220569.79
751573068;9;222070.52
751579141;9;223800.53
751585089;9;224927.20
751591167;9;226361.57
751597244;9;227659.44
751603070;9;227882.17
751609152;9;229035.34
751615231;9;230078.76
751621064;9;230071.27
751627146;9;231016.11
751633228;9;231879.60
751639058;9;231723.58
751645195;9;232772.88
751651146;9;232989.58
751657130;9;233299.85
751663203;9;233943.16
751669163;9;234071.33
751675147;9;234278.66
751681129;9;234466.25
751687111;9;234636.00
751693093;9;234798.16
751699079;9;234951.54
751705399;9;236410.24
751711415;9;236513.94
751717108;9;235418.25
751723411;9;236691.69
751729107;9;235579.08
751735146;9;235761.88
751741164;9;235927.28
751747182;9;236076.95
751753201;9;236220.93
751759218;9;236355.97
751765258;9;236612.34
751771173;9;236339.96
751777444;9;237401.98
751783361;9;237054.44
751789068;9;235953.94
751794987;9;235616.69
751800952;9;235558.01
751806914;9;235504.90
751812938;9;235703.33
751818998;9;236008.48
751824954;9;235939.16
751830951;9;235968.74
751837036;9;236352.36
751843026;9;236342.62
751848984;9;236219.61
751854947;9;236108.31
751861006;9;236359.70
751866941;9;236111.35
751873001;9;236371.02
751878870;9;235901.77
751884950;9;236267.98
751890915;9;236147.31
751896826;9;234491.74
751902828;9;232874.76
751908832;9;231416.42
751914836;9;230096.85
751920839;9;228898.11
751926810;9;227694.48
751932816;9;226732.91
751938819;9;225872.36
751944830;9;224314.33
