timestamp;event;payload
751147580;9;0.00
751152797;9;8.56
751158842;9;7.75
751164904;9;244.92
751170908;9;3790.21
751176915;9;6998.12
751182917;9;9900.76
751188822;9;12527.17
751194826;9;14903.65
751200832;9;17053.98
751206804;9;18904.51
751212811;9;20674.11
751218815;9;22275.30
751224812;9;23962.03
751230814;9;28818.93
751236820;9;33213.64
751242825;9;37190.14
751248821;9;40764.43
751254827;9;44022.38
751260830;9;46970.29
751266804;9;49542.51
751272810;9;51965.11
751278814;9;54157.17
751284815;9;56378.53
751290818;9;61719.20
751296822;9;66551.63
751302827;9;70924.19
751308832;9;74880.65
751314819;9;78436.82
751320824;9;81678.36
751326797;9;84516.26
751332802;9;87179.27
751338807;9;89588.85
751344814;9;92007.04
751350818;9;97525.80
751356824;9;102519.38
751362829;9;107037.76
751368835;9;111126.16
751374849;9;114849.28
751380825;9;118146.74
751386826;9;121177.98
751392833;9;123920.75
751398797;9;126307.36
751404846;9;128895.08
751410804;9;134376.91
751416807;9;139432.24
751422811;9;144006.50
751428858;9;148240.61
751434816;9;151881.47
751440819;9;155271.03
751446823;9;158338.02
751452815;9;161089.36
751458819;9;163602.66
751464852;9;166114.70
751470857;9;171718.38
751477137;9;176075.08
751483093;9;181444.62
751488864;9;185589.46
751494869;9;189339.87
751500870;9;192733.38
751506873;9;195803.95
751512876;9;198582.32
751518847;9;200977.35
751524935;9;203620.26
751531146;9;207558.07
751537133;9;210288.46
751543123;9;212759.03
751549115;9;214994.49
751555106;9;217017.22
751561095;9;218847.46
751567082;9;220503.53
751573068;9;222002.01
751579141;9;223690.95
751585089;9;224790.94
751591167;9;226238.27
751597245;9;227547.88
751603070;9;227781.23
751609152;9;228944.00
751615231;9;229996.11
751621064;9;229996.48
751627146;9;230948.44
751633228;9;231809.81
751639058;9;231637.59
751645195;9;232671.28
751651147;9;232892.89
751657130;9;233212.36
751663203;9;233834.50
751669163;9;233969.20
751675147;9;234186.25
751681129;9;234382.64
751687111;9;234560.34
751693093;9;234721.14
751699079;9;234866.63
751705399;9;236306.76
751711415;9;236420.31
751717108;9;235333.52
751723411;9;236610.27
751729107;9;235505.41
751735146;9;235695.22
751741164;9;235866.96
751747182;9;236022.37
751753201;9;236162.98
751759218;9;236290.22
751765258;9;236524.30
751771173;9;236260.29
751777444;9;237329.89
751783361;9;236989.22
751789068;9;235872.08
751794987;9;235527.40
751800952;9;235477.21
751806914;9;235431.79
751812938;9;235628.61
751818998;9;235925.65
751824954;9;235837.56
751830951;9;235876.81
751837036;9;236269.18
751843026;9;236267.36
751848984;9;236146.75
751854947;9;236037.63
751861006;9;236295.74
751866941;9;236053.48
751873001;9;236310.09
751878870;9;235828.56
751884950;9;236177.94
751890915;9;236065.85
751896826;9;234418.03
751902828;9;232808.06
751908832;9;231351.31
751914836;9;230033.18
751920839;9;228840.49
751926810;9;227642.35
751932816;9;226677.18
751938819;9;225803.85
751944831;9;224228.55
