timestamp;event;payload
750635483;3;38-1
750635483;4;38-1
750635683;3;38-2
750635683;4;38-2
750635883;3;38-3
750635883;4;38-3
750636083;3;38-4
750636083;4;38-4
750636283;3;38-5
750636284;4;38-5
750636483;3;38-6
750636484;4;38-6
750636683;3;38-7
750636684;4;38-7
750636883;3;38-8
750636884;4;38-8
750637083;3;38-9
750637084;4;38-9
750637283;3;38-10
750637284;4;38-10
750637484;3;38-11
750637484;4;38-11
750637684;3;38-12
750637684;4;38-12
750637884;3;38-13
750637884;4;38-13
750638084;3;38-14
750638084;4;38-14
750638284;3;38-15
750638284;4;38-15
750638484;3;38-16
750638484;4;38-16
750638684;3;38-17
750638684;4;38-17
750638884;3;38-18
750638885;4;38-18
750639084;3;38-19
750639085;4;38-19
750639284;3;38-20
750639285;4;38-20
750639484;3;38-21
750639485;4;38-21
750639684;3;38-22
750639685;4;38-22
750639885;3;38-23
750639885;4;38-23
750640085;3;38-24
750640085;4;38-24
750640285;3;38-25
750640285;4;38-25
750640485;3;38-26
750640485;4;38-26
750640685;3;38-27
750640685;4;38-27
750640885;3;38-28
750640885;4;38-28
750641085;3;38-29
750641086;4;38-29
750641285;3;38-30
750641286;4;38-30
750641485;3;38-31
750641486;4;38-31
750641685;3;38-32
750641686;4;38-32
750641885;3;38-33
750641886;4;38-33
750642085;3;38-34
750642086;4;38-34
750642286;3;38-35
750642286;4;38-35
750642486;3;38-36
750642486;4;38-36
750642686;3;38-37
750642686;4;38-37
750642886;3;38-38
750642887;4;38-38
750643086;3;38-39
750643086;4;38-39
750643286;3;38-40
750643286;4;38-40
750643486;3;38-41
750643487;4;38-41
750643686;3;38-42
750643687;4;38-42
750643886;3;38-43
750643887;4;38-43
750644086;3;38-44
750644087;4;38-44
750644287;3;38-45
750644287;4;38-45
750644487;3;38-46
750644487;4;38-46
750644687;3;38-47
750644687;4;38-47
750644887;3;38-48
750644887;4;38-48
750645087;3;38-49
750645087;4;38-49
750645287;3;38-50
750645287;4;38-50
750645487;3;38-51
750645487;4;38-51
750645687;3;38-52
750645688;4;38-52
750645887;3;38-53
750645888;4;38-53
750646087;3;38-54
750646088;4;38-54
750646287;3;38-55
750646288;4;38-55
750646488;3;38-56
750646488;4;38-56
750646688;3;38-57
750646688;4;38-57
750646888;3;38-58
750646888;4;38-58
750647088;3;38-59
750647088;4;38-59
750647288;3;38-60
750647288;4;38-60
750647488;3;38-61
750647488;4;38-61
750647688;3;38-62
750647688;4;38-62
750647888;3;38-63
750647889;4;38-63
750648088;3;38-64
750648089;4;38-64
750648288;3;38-65
750648289;4;38-65
750648488;3;38-66
750648489;4;38-66
750648688;3;38-67
750648689;4;38-67
750648889;3;38-68
750648889;4;38-68
750649089;3;38-69
750649089;4;38-69
750649289;3;38-70
750649289;4;38-70
750649489;3;38-71
750649489;4;38-71
750649689;3;38-72
750649689;4;38-72
750649889;3;38-73
750649889;4;38-73
750650089;3;38-74
750650090;4;38-74
750650289;3;38-75
750650290;4;38-75
750650489;3;38-76
750650490;4;38-76
750650689;3;38-77
750650690;4;38-77
750650889;3;38-78
750650890;4;38-78
750651090;3;38-79
750651090;4;38-79
750651290;3;38-80
750651290;4;38-80
750651490;3;38-81
750651490;4;38-81
750651690;3;38-82
750651690;4;38-82
750651890;3;38-83
750651890;4;38-83
750652090;3;38-84
750652090;4;38-84
750652290;3;38-85
750652290;4;38-85
750652490;3;38-86
750652491;4;38-86
750652690;3;38-87
750652691;4;38-87
750652890;3;38-88
750652891;4;38-88
750653090;3;38-89
750653091;4;38-89
750653290;3;38-90
750653291;4;38-90
750653491;3;38-91
750653491;4;38-91
750653691;3;38-92
750653691;4;38-92
750653891;3;38-93
750653891;4;38-93
750654091;3;38-94
750654091;4;38-94
750654291;3;38-95
750654291;4;38-95
750654491;3;38-96
750654491;4;38-96
750654691;3;38-97
750654692;4;38-97
750654891;3;38-98
750654892;4;38-98
750655091;3;38-99
750655092;4;38-99
750655291;3;38-100
750655292;4;38-100
750655491;3;38-101
750655492;4;38-101
750655692;3;38-102
750655692;4;38-102
750655892;3;38-103
750655892;4;38-103
750656092;3;38-104
750656092;4;38-104
750656292;3;38-105
750656292;4;38-105
750656492;3;38-106
750656492;4;38-106
750656692;3;38-107
750656692;4;38-107
750656892;3;38-108
750656892;4;38-108
750657092;3;38-109
750657092;4;38-109
750657292;3;38-110
750657293;4;38-110
750657492;3;38-111
750657493;4;38-111
750657692;3;38-112
750657693;4;38-112
750657893;3;38-113
750657893;4;38-113
750658093;3;38-114
750658093;4;38-114
750658293;3;38-115
750658293;4;38-115
750658493;3;38-116
750658493;4;38-116
750658693;3;38-117
750658693;4;38-117
750658893;3;38-118
750658893;4;38-118
750659093;3;38-119
750659093;4;38-119
750659293;3;38-120
750659293;4;38-120
750659493;3;38-121
750659494;4;38-121
750659693;3;38-122
750659694;4;38-122
750659893;3;38-123
750659894;4;38-123
750660093;3;38-124
750660094;4;38-124
750660294;3;38-125
750660294;4;38-125
750660494;3;38-126
750660494;4;38-126
750660694;3;38-127
750660694;4;38-127
750660894;3;38-128
750660894;4;38-128
750661094;3;38-129
750661094;4;38-129
750661294;3;38-130
750661294;4;38-130
750661494;3;38-131
750661495;4;38-131
750661694;3;38-132
750661694;4;38-132
750661894;3;38-133
750661895;4;38-133
750662094;3;38-134
750662095;4;38-134
750662294;3;38-135
750662295;4;38-135
750662495;3;38-136
750662495;4;38-136
750662695;3;38-137
750662695;4;38-137
750662895;3;38-138
750662895;4;38-138
750663095;3;38-139
750663095;4;38-139
750663295;3;38-140
750663295;4;38-140
750663495;3;38-141
750663495;4;38-141
750663695;3;38-142
750663695;4;38-142
750663895;3;38-143
750663896;4;38-143
750664095;3;38-144
750664096;4;38-144
750664295;3;38-145
750664296;4;38-145
750664495;3;38-146
750664496;4;38-146
750664696;3;38-147
750664696;4;38-147
750664896;3;38-148
750664896;4;38-148
750665096;3;38-149
750665096;4;38-149
750665296;3;38-150
750665296;4;38-150
750665496;3;38-151
750665496;4;38-151
750665696;3;38-152
750665696;4;38-152
750665896;3;38-153
750665896;4;38-153
750666096;3;38-154
750666097;4;38-154
750666296;3;38-155
750666297;4;38-155
750666496;3;38-156
750666497;4;38-156
750666696;3;38-157
750666697;4;38-157
750666897;3;38-158
750666897;4;38-158
750667097;3;38-159
750667097;4;38-159
750667297;3;38-160
750667297;4;38-160
750667497;3;38-161
750667497;4;38-161
750667697;3;38-162
750667697;4;38-162
750667897;3;38-163
750667897;4;38-163
750668097;3;38-164
750668097;4;38-164
750668297;3;38-165
750668297;4;38-165
750668497;3;38-166
750668498;4;38-166
750668697;3;38-167
750668698;4;38-167
750668897;3;38-168
750668898;4;38-168
750669097;3;38-169
750669098;4;38-169
750669297;3;38-170
750669298;4;38-170
750669498;3;38-171
750669498;4;38-171
750669698;3;38-172
750669698;4;38-172
750669898;3;38-173
750669898;4;38-173
750670098;3;38-174
750670098;4;38-174
750670298;3;38-175
750670298;4;38-175
750670498;3;38-176
750670498;4;38-176
750670698;3;38-177
750670698;4;38-177
750670898;3;38-178
750670898;4;38-178
750671098;3;38-179
750671099;4;38-179
750671298;3;38-180
750671299;4;38-180
750671498;3;38-181
750671499;4;38-181
750671698;3;38-182
750671699;4;38-182
750671899;3;38-183
750671899;4;38-183
750672099;3;38-184
750672099;4;38-184
750672299;3;38-185
750672299;4;38-185
750672499;3;38-186
750672499;4;38-186
750672699;3;38-187
750672699;4;38-187
750672899;3;38-188
750672899;4;38-188
750673099;3;38-189
750673100;4;38-189
750673299;3;38-190
750673300;4;38-190
750673499;3;38-191
750673500;4;38-191
750673699;3;38-192
750673700;4;38-192
750673899;3;38-193
750673900;4;38-193
750674100;3;38-194
750674100;4;38-194
750674300;3;38-195
750674300;4;38-195
750674500;3;38-196
750674500;4;38-196
750674700;3;38-197
750674700;4;38-197
750674900;3;38-198
750674900;4;38-198
750675100;3;38-199
750675100;4;38-199
750675300;3;38-200
750675300;4;38-200
750675500;3;38-201
750675501;4;38-201
750675700;3;38-202
750675701;4;38-202
750675900;3;38-203
750675901;4;38-203
750676100;3;38-204
750676101;4;38-204
750676301;3;38-205
750676301;4;38-205
750676501;3;38-206
750676501;4;38-206
750676701;3;38-207
750676701;4;38-207
750676901;3;38-208
750676901;4;38-208
750677101;3;38-209
750677101;4;38-209
750677301;3;38-210
750677301;4;38-210
750677501;3;38-211
750677501;4;38-211
750677701;3;38-212
750677701;4;38-212
750677901;3;38-213
750677902;4;38-213
750678101;3;38-214
750678102;4;38-214
750678301;3;38-215
750678302;4;38-215
750678502;3;38-216
750678502;4;38-216
750678702;3;38-217
750678702;4;38-217
750678902;3;38-218
750678902;4;38-218
750679102;3;38-219
750679102;4;38-219
750679302;3;38-220
750679302;4;38-220
750679502;3;38-221
750679502;4;38-221
750679702;3;38-222
750679702;4;38-222
750679902;3;38-223
750679902;4;38-223
750680102;3;38-224
750680103;4;38-224
750680302;3;38-225
750680303;4;38-225
750680502;3;38-226
750680503;4;38-226
750680702;3;38-227
750680703;4;38-227
750680903;3;38-228
750680903;4;38-228
750681103;3;38-229
750681103;4;38-229
750681303;3;38-230
750681303;4;38-230
750681503;3;38-231
750681503;4;38-231
750681703;3;38-232
750681703;4;38-232
750681903;3;38-233
750681903;4;38-233
750682103;3;38-234
750682103;4;38-234
750682303;3;38-235
750682304;4;38-235
750682503;3;38-236
750682504;4;38-236
750682703;3;38-237
750682704;4;38-237
750682903;3;38-238
750682904;4;38-238
750683103;3;38-239
750683104;4;38-239
750683304;3;38-240
750683304;4;38-240
750683504;3;38-241
750683504;4;38-241
750683704;3;38-242
750683704;4;38-242
750683904;3;38-243
750683904;4;38-243
750684104;3;38-244
750684104;4;38-244
